season,date,game_id,home_team,away_team,home_starter_name,away_starter_name,home_starter_id,away_starter_id
2026,2026-04-01,SAMPLE_GAME_001,KT,LG,Sample Home Starter,Sample Away Starter,MOCK_HOME_SP_001,MOCK_AWAY_SP_001
2026,2026-04-02,SAMPLE_GAME_002,한화,두산,Sample Home Starter 2,Sample Away Starter 2,MOCK_HOME_SP_002,MOCK_AWAY_SP_002
