target_file,conversion_attempted,conversion_applied,output_rows,validation_passed,blocker
starter_pitchers.csv,False,False,0,False,confirmed_starters.csv에 실제 row 없음
pitcher_game_logs.csv,False,False,0,False,home_runs_allowed 컬럼 없음; 명시적 is_starter 컬럼 없음
