season,date,game_key,ballpark,away_team,home_team,away_actual_runs,away_expected_runs,away_run_error,home_actual_runs,home_expected_runs,home_run_error,run_mae,actual_total_runs,expected_total_runs,total_run_error,total_abs_error,expected_run_diff,actual_run_diff,home_win_probability,predicted_winner,actual_winner,win_correct,favorite_probability_bucket,over_under_pick,actual_over_under_result,over_under_correct,handicap_pick,handicap_correct,season_phase
2024,2024-05-25,20240525OBHT0,광주,두산,KIA,2.0,5.3407,3.3407,6.0,5.8686,-0.1314,1.7361,8.0,11.2093,3.2093,3.2093,0.5279,4.0,0.6341,KIA,KIA,True,60~65%,오버,언더,False,두산 +2.5,0.0,시즌 초반
2024,2024-05-25,20240525SSLT0,사직,삼성,롯데,6.0,4.9869,-1.0131,7.0,4.7426,-2.2574,1.6352,13.0,9.7296,-3.2704,3.2704,-0.2443,1.0,0.4825,삼성,롯데,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-25,20240525WOKT0,수원,키움,KT,2.0,5.2845,3.2845,5.0,5.2798,0.2798,1.7822,7.0,10.5644,3.5644,3.5644,-0.0047,3.0,0.5306,KT,KT,True,50~55%,오버,언더,False,관망,,시즌 초반
2024,2024-05-26,20240526NCLG0,잠실,NC,LG,3.0,5.4616,2.4616,6.0,5.2826,-0.7174,1.5895,9.0,10.7442,1.7442,1.7442,-0.179,3.0,0.4956,NC,LG,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-26,20240526OBHT0,광주,두산,KIA,2.0,5.2026,3.2026,5.0,5.2882,0.2882,1.7454,7.0,10.4908,3.4908,3.4908,0.0856,3.0,0.5486,KIA,KIA,True,50~55%,오버,언더,False,관망,,시즌 초반
2024,2024-05-26,20240526SSLT0,사직,삼성,롯데,1.0,5.1846,4.1846,9.0,4.776,-4.224,4.2043,10.0,9.9606,-0.0394,0.0394,-0.4085,8.0,0.4497,삼성,롯데,False,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-05-28,20240528HTNC0,창원,KIA,NC,11.0,5.3583,-5.6417,8.0,5.1364,-2.8636,4.2526,19.0,10.4947,-8.5053,8.5053,-0.2219,-3.0,0.487,KIA,KIA,True,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-28,20240528KTOB0,잠실,KT,두산,12.0,5.3847,-6.6153,3.0,5.663,2.663,4.6392,15.0,11.0477,-3.9523,3.9523,0.2783,-9.0,0.5865,두산,KT,False,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-05-28,20240528LGSK0,문학,LG,SSG,7.0,5.6269,-1.3731,5.0,5.2131,0.2131,0.7931,12.0,10.8401,-1.1599,1.1599,-0.4138,-2.0,0.4487,LG,LG,True,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-05-28,20240528LTHH0,한밭,롯데,한화,3.0,5.2518,2.2518,12.0,4.9438,-7.0562,4.654,15.0,10.1956,-4.8044,4.8044,-0.3081,9.0,0.4698,롯데,한화,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-28,20240528WOSS0,대구,키움,삼성,4.0,4.6495,0.6495,3.0,4.9474,1.9474,1.2985,7.0,9.5969,2.5969,2.5969,0.2978,-1.0,0.5903,삼성,키움,False,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-05-29,20240529HTNC0,창원,KIA,NC,6.0,5.4216,-0.5784,3.0,5.3638,2.3638,1.4711,9.0,10.7854,1.7854,1.7854,-0.0578,-3.0,0.5199,NC,KIA,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-29,20240529KTOB0,잠실,KT,두산,6.0,5.3154,-0.6846,12.0,5.6412,-6.3588,3.5217,18.0,10.9566,-7.0434,7.0434,0.3258,6.0,0.5957,두산,두산,True,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-05-29,20240529LGSK0,문학,LG,SSG,13.0,5.5176,-7.4824,4.0,5.0093,1.0093,4.2459,17.0,10.5268,-6.4732,6.4732,-0.5083,-9.0,0.43,LG,LG,True,55~60%,오버,오버,True,SSG +2.5,0.0,시즌 초반
2024,2024-05-29,20240529LTHH0,한밭,롯데,한화,0.0,5.2979,5.2979,3.0,5.0487,2.0487,3.6733,3.0,10.3466,7.3466,7.3466,-0.2492,3.0,0.4815,롯데,한화,False,50~55%,오버,언더,False,관망,,시즌 초반
2024,2024-05-29,20240529WOSS0,대구,키움,삼성,11.0,4.6785,-6.3215,5.0,4.9424,-0.0576,3.1896,16.0,9.6209,-6.3791,6.3791,0.264,-6.0,0.5837,삼성,키움,False,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-05-30,20240530HTNC0,창원,KIA,NC,11.0,5.309,-5.691,2.0,5.3103,3.3103,4.5006,13.0,10.6193,-2.3807,2.3807,0.0012,-9.0,0.5317,NC,KIA,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-30,20240530KTOB0,잠실,KT,두산,1.0,5.2497,4.2497,6.0,5.6144,-0.3856,2.3176,7.0,10.8642,3.8642,3.8642,0.3647,5.0,0.6032,두산,두산,True,60~65%,오버,언더,False,관망,,시즌 초반
2024,2024-05-30,20240530LGSK0,문학,LG,SSG,2.0,5.5756,3.5756,8.0,4.9785,-3.0215,3.2986,10.0,10.5541,0.5541,0.5541,-0.5971,6.0,0.4126,LG,SSG,False,55~60%,오버,오버,True,SSG +2.5,1.0,시즌 초반
2024,2024-05-30,20240530LTHH0,한밭,롯데,한화,0.0,5.0357,5.0357,15.0,5.0487,-9.9513,7.4935,15.0,10.0844,-4.9156,4.9156,0.013,15.0,0.5341,한화,한화,True,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-30,20240530WOSS0,대구,키움,삼성,2.0,5.4157,3.4157,4.0,5.1577,1.1577,2.2867,6.0,10.5734,4.5734,4.5734,-0.258,2.0,0.4798,키움,삼성,False,50~55%,오버,언더,False,관망,,시즌 초반
2024,2024-05-31,20240531HHSS0,대구,한화,삼성,6.0,5.2061,-0.7939,8.0,5.6388,-2.3612,1.5776,14.0,10.8448,-3.1552,3.1552,0.4327,2.0,0.6162,삼성,삼성,True,60~65%,오버,오버,True,관망,,시즌 초반
2024,2024-05-31,20240531KTHT0,광주,KT,KIA,8.0,5.2631,-2.7369,5.0,5.3915,0.3915,1.5642,13.0,10.6547,-2.3453,2.3453,0.1284,-3.0,0.5571,KIA,KT,False,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-05-31,20240531LGOB0,잠실,LG,두산,6.0,5.2826,-0.7174,3.0,5.2069,2.2069,1.4621,9.0,10.4894,1.4894,1.4894,-0.0757,-3.0,0.5163,두산,LG,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-05-31,20240531NCLT0,사직,NC,롯데,5.0,5.6224,0.6224,13.0,4.7241,-8.2759,4.4491,18.0,10.3465,-7.6535,7.6535,-0.8983,8.0,0.3555,NC,롯데,False,60~65%,오버,오버,True,롯데 +2.5,1.0,시즌 초반
2024,2024-05-31,20240531SKWO0,고척,SSG,키움,4.0,5.2842,1.2842,2.0,5.3817,3.3817,2.3329,6.0,10.6659,4.6659,4.6659,0.0974,-2.0,0.5509,키움,SSG,False,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-06-01,20240601HHSS0,대구,한화,삼성,4.0,5.161,1.161,6.0,5.5022,-0.4978,0.8294,10.0,10.6632,0.6632,0.6632,0.3412,2.0,0.5987,삼성,삼성,True,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-06-01,20240601KTHT0,광주,KT,KIA,2.0,5.1814,3.1814,4.0,5.5229,1.5229,2.3521,6.0,10.7043,4.7043,4.7043,0.3415,2.0,0.5988,KIA,KIA,True,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-06-01,20240601LGOB0,잠실,LG,두산,8.0,5.2751,-2.7249,5.0,5.5888,0.5888,1.6569,13.0,10.8639,-2.1361,2.1361,0.3137,-3.0,0.5934,두산,LG,False,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-06-01,20240601NCLT0,사직,NC,롯데,4.0,5.6586,1.6586,2.0,4.7912,2.7912,2.2249,6.0,10.4498,4.4498,4.4498,-0.8674,-2.0,0.3612,NC,NC,True,60~65%,오버,언더,False,롯데 +2.5,1.0,시즌 초반
2024,2024-06-01,20240601SKWO0,고척,SSG,키움,9.0,5.2306,-3.7694,0.0,5.3645,5.3645,4.5669,9.0,10.5952,1.5952,1.5952,0.1339,-9.0,0.5581,키움,SSG,False,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-06-02,20240602HHSS0,대구,한화,삼성,0.0,5.1381,5.1381,1.0,5.4265,4.4265,4.7823,1.0,10.5646,9.5646,9.5646,0.2883,1.0,0.5885,삼성,삼성,True,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-06-02,20240602KTHT0,광주,KT,KIA,11.0,5.2761,-5.7239,3.0,5.6213,2.6213,4.1726,14.0,10.8975,-3.1025,3.1025,0.3452,-8.0,0.5995,KIA,KT,False,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-06-02,20240602LGOB0,잠실,LG,두산,9.0,5.4496,-3.5504,1.0,5.8269,4.8269,4.1886,10.0,11.2765,1.2765,1.2765,0.3773,-8.0,0.6056,두산,LG,False,60~65%,오버,오버,True,관망,,시즌 초반
2024,2024-06-02,20240602NCLT0,사직,NC,롯데,4.0,5.5821,1.5821,13.0,4.7269,-8.2731,4.9276,17.0,10.309,-6.691,6.691,-0.8552,9.0,0.3635,NC,롯데,False,60~65%,오버,오버,True,롯데 +2.5,1.0,시즌 초반
2024,2024-06-02,20240602SKWO0,고척,SSG,키움,6.0,5.0639,-0.9361,2.0,5.344,3.344,2.1401,8.0,10.4078,2.4078,2.4078,0.2801,-4.0,0.5869,키움,SSG,False,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-06-04,20240604HHKT0,수원,한화,KT,8.0,5.3011,-2.6989,2.0,5.4387,3.4387,3.0688,10.0,10.7398,0.7398,0.7398,0.1377,-6.0,0.5589,KT,한화,False,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-06-04,20240604LTHT0,광주,롯데,KIA,6.0,4.5845,-1.4155,0.0,5.5186,5.5186,3.467,6.0,10.1031,4.1031,4.1031,0.9341,-6.0,0.706,KIA,롯데,False,65% 이상,오버,언더,False,롯데 +2.5,1.0,시즌 초반
2024,2024-06-04,20240604OBNC0,창원,두산,NC,4.0,5.9239,1.9239,1.0,5.7003,4.7003,3.3121,5.0,11.6242,6.6242,6.6242,-0.2235,-3.0,0.4867,두산,두산,True,50~55%,오버,언더,False,관망,,시즌 초반
2024,2024-06-04,20240604SSSK0,문학,삼성,SSG,3.0,5.375,2.375,1.0,5.2046,4.2046,3.2898,4.0,10.5796,6.5796,6.5796,-0.1705,-2.0,0.4973,삼성,삼성,True,50~55%,오버,언더,False,관망,,시즌 초반
2024,2024-06-04,20240604WOLG0,잠실,키움,LG,11.0,4.4238,-6.5762,3.0,5.3098,2.3098,4.443,14.0,9.7336,-4.2664,4.2664,0.886,-8.0,0.6979,LG,키움,False,65% 이상,오버,오버,True,키움 +2.5,1.0,시즌 초반
2024,2024-06-05,20240605HHKT0,수원,한화,KT,12.0,5.3586,-6.6414,2.0,5.245,3.245,4.9432,14.0,10.6035,-3.3965,3.3965,-0.1136,-10.0,0.5087,KT,한화,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-05,20240605LTHT0,광주,롯데,KIA,9.0,4.7039,-4.2961,3.0,5.3001,2.3001,3.2981,12.0,10.004,-1.996,1.996,0.5962,-6.0,0.6467,KIA,롯데,False,60~65%,오버,오버,True,롯데 +2.5,1.0,시즌 초반
2024,2024-06-05,20240605OBNC0,창원,두산,NC,4.0,5.8027,1.8027,3.0,5.3702,2.3702,2.0865,7.0,11.1729,4.1729,4.1729,-0.4325,-1.0,0.445,두산,두산,True,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-06-05,20240605SSSK0,문학,삼성,SSG,3.0,5.3879,2.3879,7.0,5.1077,-1.8923,2.1401,10.0,10.4955,0.4955,0.4955,-0.2802,4.0,0.4753,삼성,SSG,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-05,20240605WOLG0,잠실,키움,LG,2.0,4.6378,2.6378,4.0,5.4262,1.4262,2.032,6.0,10.0639,4.0639,4.0639,0.7884,2.0,0.6811,LG,LG,True,65% 이상,오버,언더,False,키움 +2.5,1.0,시즌 초반
2024,2024-06-06,20240606HHKT0,수원,한화,KT,6.0,5.4349,-0.5651,0.0,5.5777,5.5777,3.0714,6.0,11.0126,5.0126,5.0126,0.1428,-6.0,0.5599,KT,한화,False,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-06-06,20240606LTHT0,광주,롯데,KIA,4.0,5.0515,1.0515,5.0,5.2893,0.2893,0.6704,9.0,10.3407,1.3407,1.3407,0.2378,1.0,0.5786,KIA,KIA,True,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-06-06,20240606OBNC0,창원,두산,NC,8.0,5.7761,-2.2239,4.0,5.3511,1.3511,1.7875,12.0,11.1273,-0.8727,0.8727,-0.425,-4.0,0.4464,두산,두산,True,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-06-06,20240606SSSK0,문학,삼성,SSG,0.0,5.4303,5.4303,4.0,5.0209,1.0209,3.2256,4.0,10.4512,6.4512,6.4512,-0.4094,4.0,0.4495,삼성,SSG,False,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-06-06,20240606WOLG0,잠실,키움,LG,4.0,4.6437,0.6437,8.0,5.3681,-2.6319,1.6378,12.0,10.0118,-1.9882,1.9882,0.7244,4.0,0.6699,LG,LG,True,65% 이상,오버,오버,True,키움 +2.5,0.0,시즌 초반
2024,2024-06-07,20240607HTOB0,잠실,KIA,두산,5.0,5.4048,0.4048,6.0,5.434,-0.566,0.4854,11.0,10.8388,-0.1612,0.1612,0.0291,1.0,0.5373,두산,두산,True,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-07,20240607LGKT0,수원,LG,KT,8.0,5.6625,-2.3375,7.0,5.652,-1.348,1.8427,15.0,11.3145,-3.6855,3.6855,-0.0105,-1.0,0.5294,KT,LG,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-07,20240607NCHH0,한밭,NC,한화,6.0,4.8663,-1.1337,2.0,5.2807,3.2807,2.2072,8.0,10.1471,2.1471,2.1471,0.4144,-4.0,0.6127,한화,NC,False,60~65%,오버,언더,False,관망,,시즌 초반
2024,2024-06-07,20240607SKLT0,사직,SSG,롯데,7.0,5.0502,-1.9498,11.0,5.2438,-5.7562,3.853,18.0,10.294,-7.706,7.706,0.1935,4.0,0.5699,롯데,롯데,True,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-06-07,20240607SSWO0,고척,삼성,키움,5.0,4.8928,-0.1072,7.0,4.7128,-2.2872,1.1972,12.0,9.6056,-2.3944,2.3944,-0.18,2.0,0.4954,삼성,키움,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-08,20240608HTOB0,잠실,KIA,두산,8.0,5.4054,-2.5946,9.0,5.3935,-3.6065,3.1006,17.0,10.7988,-6.2012,6.2012,-0.0119,1.0,0.5291,두산,두산,True,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-08,20240608LGKT0,수원,LG,KT,8.0,5.6826,-2.3174,2.0,5.5928,3.5928,2.9551,10.0,11.2753,1.2753,1.2753,-0.0898,-6.0,0.5135,KT,LG,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-08,20240608NCHH0,한밭,NC,한화,4.0,5.0858,1.0858,2.0,5.4494,3.4494,2.2676,6.0,10.5352,4.5352,4.5352,0.3635,-2.0,0.603,한화,NC,False,60~65%,오버,언더,False,관망,,시즌 초반
2024,2024-06-08,20240608SSWO0,고척,삼성,키움,3.0,5.0728,2.0728,10.0,4.7395,-5.2605,3.6666,13.0,9.8123,-3.1877,3.1877,-0.3333,7.0,0.4647,삼성,키움,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-09,20240609HTOB0,잠실,KIA,두산,8.0,5.2038,-2.7962,2.0,5.166,3.166,2.9811,10.0,10.3697,0.3697,0.3697,-0.0378,-6.0,0.5239,두산,KIA,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-09,20240609LGKT0,수원,LG,KT,2.0,5.6782,3.6782,11.0,5.4312,-5.5688,4.6235,13.0,11.1094,-1.8906,1.8906,-0.2471,9.0,0.482,LG,KT,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-09,20240609SKLT1,사직,SSG,롯데,5.0,5.1264,0.1264,1.0,5.2809,4.2809,2.2037,6.0,10.4074,4.4074,4.4074,0.1545,-4.0,0.5622,롯데,SSG,False,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-06-09,20240609SKLT2,사직,SSG,롯데,3.0,5.1264,2.1264,5.0,5.2809,0.2809,1.2037,8.0,10.4074,2.4074,2.4074,0.1545,2.0,0.5622,롯데,롯데,True,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-06-09,20240609SSWO0,고척,삼성,키움,7.0,5.2224,-1.7776,1.0,4.6525,3.6525,2.715,8.0,9.8749,1.8749,1.8749,-0.5699,-6.0,0.4179,삼성,삼성,True,55~60%,오버,언더,False,키움 +2.5,0.0,시즌 초반
2024,2024-06-11,20240611HHOB0,잠실,한화,두산,6.0,5.0452,-0.9548,1.0,5.2277,4.2277,2.5912,7.0,10.2729,3.2729,3.2729,0.1825,-5.0,0.5677,두산,한화,False,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-06-11,20240611HTSK0,문학,KIA,SSG,6.0,5.4999,-0.5001,7.0,5.0146,-1.9854,1.2427,13.0,10.5146,-2.4854,2.4854,-0.4853,1.0,0.4345,KIA,SSG,False,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-06-11,20240611KTNC0,창원,KT,NC,6.0,5.4967,-0.5033,8.0,5.5134,-2.4866,1.495,14.0,11.01,-2.99,2.99,0.0167,2.0,0.5348,NC,NC,True,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-11,20240611LGSS0,대구,LG,삼성,4.0,5.0735,1.0735,6.0,5.2624,-0.7376,0.9055,10.0,10.336,0.336,0.336,0.1889,2.0,0.569,삼성,삼성,True,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-06-11,20240611WOLT0,사직,키움,롯데,5.0,4.6592,-0.3408,2.0,5.0614,3.0614,1.7011,7.0,9.7206,2.7206,2.7206,0.4022,-3.0,0.6104,롯데,키움,False,60~65%,오버,언더,False,관망,,시즌 초반
2024,2024-06-12,20240612HHOB0,잠실,한화,두산,4.0,5.2273,1.2273,3.0,5.4576,2.4576,1.8424,7.0,10.6849,3.6849,3.6849,0.2303,-1.0,0.5771,두산,한화,False,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-06-12,20240612HTSK0,문학,KIA,SSG,13.0,5.5198,-7.4802,7.0,5.0431,-1.9569,4.7186,20.0,10.5629,-9.4371,9.4371,-0.4767,-6.0,0.4362,KIA,KIA,True,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-06-12,20240612KTNC0,창원,KT,NC,11.0,5.6009,-5.3991,8.0,5.5513,-2.4487,3.9239,19.0,11.1521,-7.8479,7.8479,-0.0496,-3.0,0.5216,NC,KT,False,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-12,20240612LGSS0,대구,LG,삼성,4.0,5.2069,1.2069,5.0,5.1376,0.1376,0.6722,9.0,10.3445,1.3445,1.3445,-0.0693,1.0,0.5176,삼성,삼성,True,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-12,20240612WOLT0,사직,키움,롯데,2.0,4.9428,2.9428,9.0,5.1077,-3.8923,3.4175,11.0,10.0505,-0.9495,0.9495,0.1649,7.0,0.5643,롯데,롯데,True,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-06-13,20240613HHOB0,잠실,한화,두산,6.0,5.2351,-0.7649,9.0,5.3334,-3.6666,2.2158,15.0,10.5685,-4.4315,4.4315,0.0983,3.0,0.5511,두산,두산,True,55~60%,오버,오버,True,관망,,시즌 초반
2024,2024-06-13,20240613HTSK0,문학,KIA,SSG,1.0,5.5429,4.5429,7.0,5.1475,-1.8525,3.1977,8.0,10.6904,2.6904,2.6904,-0.3954,6.0,0.4523,KIA,SSG,False,50~55%,오버,언더,False,관망,,시즌 초반
2024,2024-06-13,20240613KTNC0,창원,KT,NC,3.0,5.512,2.512,5.0,5.6188,0.6188,1.5654,8.0,11.1308,3.1308,3.1308,0.1068,2.0,0.5528,NC,NC,True,55~60%,오버,언더,False,관망,,시즌 초반
2024,2024-06-13,20240613LGSS0,대구,LG,삼성,3.0,5.2054,2.2054,6.0,5.1435,-0.8565,1.531,9.0,10.3489,1.3489,1.3489,-0.0619,3.0,0.5191,삼성,삼성,True,50~55%,오버,오버,True,관망,,시즌 초반
2024,2024-06-13,20240613WOLT0,사직,키움,롯데,10.0,4.6239,-5.3761,18.0,5.2074,-12.7926,9.0844,28.0,9.8313,-18.1687,18.1687,0.5835,8.0,0.6444,롯데,롯데,True,60~65%,오버,오버,True,키움 +2.5,0.0,시즌 초반
2024,2024-06-14,20240614HTKT0,수원,KIA,KT,11.0,5.722,-5.278,1.0,5.4317,4.4317,4.8549,12.0,11.1537,-0.8463,0.8463,-0.2903,-10.0,0.4733,KIA,KIA,True,50~55%,오버,오버,True,관망,,시즌 초반
