reference_date,away_team,home_team,scheduled_start_datetime,official_game_id
2026-06-21,SSG,NC,2026-06-21 17:00:00,20260621SKNC0
2026-06-21,삼성,한화,2026-06-21 17:00:00,20260621SSHH0
2026-06-23,KIA,키움,2026-06-23 18:30:00,20260623HTWO0
2026-06-23,NC,롯데,2026-06-23 18:30:00,20260623NCLT0
2026-06-23,두산,한화,2026-06-23 18:30:00,20260623OBHH0
2026-06-23,SSG,KT,2026-06-23 18:30:00,20260623SKKT0
2026-06-23,삼성,LG,2026-06-23 18:30:00,20260623SSLG0
2026-06-24,KIA,키움,2026-06-24 18:30:00,20260624HTWO0
2026-06-24,NC,롯데,2026-06-24 18:30:00,20260624NCLT0
2026-06-24,두산,한화,2026-06-24 18:30:00,20260624OBHH0
2026-06-24,SSG,KT,2026-06-24 18:30:00,20260624SKKT0
2026-06-24,삼성,LG,2026-06-24 18:30:00,20260624SSLG0
2026-06-25,KIA,키움,2026-06-25 18:30:00,20260625HTWO0
2026-06-25,NC,롯데,2026-06-25 18:30:00,20260625NCLT0
2026-06-25,두산,한화,2026-06-25 18:30:00,20260625OBHH0
2026-06-25,SSG,KT,2026-06-25 18:30:00,20260625SKKT0
2026-06-25,삼성,LG,2026-06-25 18:30:00,20260625SSLG0
2026-06-26,한화,SSG,2026-06-26 18:30:00,20260626HHSK0
2026-06-26,KIA,두산,2026-06-26 18:30:00,20260626HTOB0
2026-06-26,KT,삼성,2026-06-26 18:30:00,20260626KTSS0
2026-06-26,LG,롯데,2026-06-26 18:30:00,20260626LGLT0
2026-06-26,키움,NC,2026-06-26 18:30:00,20260626WONC0
2026-06-27,한화,SSG,2026-06-27 17:00:00,20260627HHSK0
2026-06-27,KIA,두산,2026-06-27 17:00:00,20260627HTOB0
2026-06-27,KT,삼성,2026-06-27 17:00:00,20260627KTSS0
2026-06-27,LG,롯데,2026-06-27 17:00:00,20260627LGLT0
2026-06-27,키움,NC,2026-06-27 17:00:00,20260627WONC0
2026-06-28,한화,SSG,2026-06-28 17:00:00,20260628HHSK0
2026-06-28,KIA,두산,2026-06-28 17:00:00,20260628HTOB0
2026-06-28,KT,삼성,2026-06-28 17:00:00,20260628KTSS0
2026-06-28,LG,롯데,2026-06-28 17:00:00,20260628LGLT0
2026-06-28,키움,NC,2026-06-28 17:00:00,20260628WONC0
2026-06-30,KT,한화,2026-06-30 18:30:00,20260630KTHH0
2026-06-30,LG,키움,2026-06-30 18:30:00,20260630LGWO0
2026-06-30,롯데,두산,2026-06-30 18:30:00,20260630LTOB0
2026-06-30,SSG,KIA,2026-06-30 18:30:00,20260630SKHT0
2026-06-30,삼성,NC,2026-06-30 18:30:00,20260630SSNC0
2026-07-01,KT,한화,2026-07-01 18:30:00,20260701KTHH0
2026-07-01,LG,키움,2026-07-01 18:30:00,20260701LGWO0
2026-07-01,롯데,두산,2026-07-01 18:30:00,20260701LTOB0
2026-07-01,SSG,KIA,2026-07-01 18:30:00,20260701SKHT0
2026-07-01,삼성,NC,2026-07-01 18:30:00,20260701SSNC0
2026-07-02,KT,한화,2026-07-02 18:30:00,20260702KTHH0
2026-07-02,LG,키움,2026-07-02 18:30:00,20260702LGWO0
2026-07-02,롯데,두산,2026-07-02 18:30:00,20260702LTOB0
2026-07-02,SSG,KIA,2026-07-02 18:30:00,20260702SKHT0
2026-07-02,삼성,NC,2026-07-02 18:30:00,20260702SSNC0
2026-07-03,한화,LG,2026-07-03 18:30:00,20260703HHLG0
