순위,선수,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,삼진,장타율,출루율,OPS
1,허경민,KT,0.400,13,45,40,10,16,2,0,2,24,7,1,0,3,4,0.600,0.455,1.055
2,권동진,KT,0.387,29,36,31,10,12,2,1,0,16,5,0,0,4,8,0.516,0.472,0.988
3,이정훈,KT,0.379,28,35,29,3,11,0,0,0,11,7,0,0,5,4,0.379,0.486,0.865
4,안현민,KT,0.365,14,67,52,14,19,4,1,3,34,11,0,0,12,16,0.654,0.507,1.161
5,유준규,KT,0.357,21,35,28,10,10,1,2,0,15,10,2,0,5,9,0.536,0.455,0.991
6,최원준,KT,0.351,41,198,168,31,59,13,1,1,77,21,2,2,23,30,0.458,0.434,0.892
7,오윤석,KT,0.329,28,88,79,12,26,4,0,0,30,12,1,1,7,17,0.380,0.379,0.759
8,김민혁,KT,0.318,23,101,88,13,28,2,0,1,33,7,3,0,10,12,0.375,0.388,0.763
9,김상수,KT,0.311,40,164,132,15,41,4,0,0,45,13,4,1,26,16,0.341,0.425,0.766
10,김현수,KT,0.297,42,194,175,22,52,11,0,3,72,31,0,1,18,22,0.411,0.361,0.772
11,류현인,KT,0.282,15,41,39,7,11,2,0,0,13,4,0,0,1,5,0.333,0.317,0.650
12,힐리어드,KT,0.267,42,190,165,34,44,6,2,12,90,37,0,4,21,51,0.545,0.342,0.887
13,강민성,KT,0.250,9,4,4,0,1,0,0,0,1,1,0,0,0,0,0.250,0.250,0.500
14,배정대,KT,0.245,30,57,53,11,13,5,0,0,18,4,1,0,3,15,0.340,0.286,0.626
15,장성우,KT,0.220,42,176,141,27,31,9,0,8,64,34,0,1,33,40,0.454,0.369,0.823
16,이강민,KT,0.208,40,142,130,12,27,1,0,0,28,14,2,1,8,33,0.215,0.257,0.472
17,장준원,KT,0.205,23,48,39,2,8,1,0,2,15,7,4,0,5,9,0.385,0.295,0.680
18,한승택,KT,0.188,30,84,69,8,13,2,0,1,18,9,3,0,10,22,0.261,0.309,0.570
19,강현우,KT,0.167,12,14,12,0,2,0,0,0,2,0,0,0,2,4,0.167,0.286,0.453
20,김민석,KT,0.000,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0.000,0.500,0.500
20,김민수,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
20,김정운,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
20,박영현,KT,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
20,안치영,KT,-,4,0,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-
20,오서진,KT,0.000,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
20,우규민,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
20,장진혁,KT,0.000,5,3,3,1,0,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000
20,조대현,KT,-,2,1,0,1,0,0,0,0,0,0,0,0,1,0,-,1.000,1.000
1,김재상,삼성,0.364,6,13,11,1,4,0,0,0,4,1,1,0,1,4,0.364,0.417,0.781
2,최형우,삼성,0.343,41,183,143,24,49,8,0,7,78,29,0,3,34,16,0.545,0.470,1.015
3,김상준,삼성,0.333,11,12,12,5,4,1,0,0,5,0,0,0,0,4,0.417,0.333,0.750
4,류지혁,삼성,0.326,40,166,141,23,46,9,2,4,71,27,1,0,20,22,0.504,0.424,0.928
5,구자욱,삼성,0.303,25,102,89,15,27,2,1,5,46,16,0,2,11,16,0.517,0.373,0.890
6,박승규,삼성,0.300,29,130,110,23,33,4,2,5,56,17,0,1,16,16,0.509,0.400,0.909
7,디아즈,삼성,0.296,42,188,162,26,48,6,0,5,69,32,0,3,23,26,0.426,0.378,0.804
8,김도환,삼성,0.286,12,33,28,3,8,3,0,1,14,4,0,1,4,8,0.500,0.364,0.864
9,김헌곤,삼성,0.274,33,65,62,2,17,1,1,0,20,4,0,1,2,10,0.323,0.292,0.615
10,전병우,삼성,0.269,35,130,108,19,29,8,0,3,46,22,0,1,15,29,0.426,0.385,0.811
11,김성윤,삼성,0.268,25,93,82,13,22,5,1,1,32,12,1,0,8,15,0.390,0.348,0.738
12,김지찬,삼성,0.250,41,154,128,25,32,4,2,0,40,8,2,1,21,10,0.313,0.362,0.675
13,강민호,삼성,0.230,32,99,87,5,20,5,0,1,28,15,0,0,11,28,0.322,0.323,0.645
14,이재현,삼성,0.224,23,84,67,13,15,2,0,4,29,13,1,1,13,11,0.433,0.361,0.794
15,양우현,삼성,0.222,25,53,45,6,10,1,0,1,14,3,1,1,6,11,0.311,0.308,0.619
16,김태훈,삼성,0.200,2,6,5,0,1,1,0,0,2,0,0,0,1,1,0.400,0.333,0.733
17,박세혁,삼성,0.171,23,39,35,5,6,1,0,0,7,0,0,0,4,9,0.200,0.256,0.456
18,김영웅,삼성,0.171,10,43,41,2,7,2,0,0,9,3,0,0,2,14,0.220,0.209,0.429
19,김재혁,삼성,0.167,10,6,6,1,1,0,0,0,1,0,0,0,0,2,0.167,0.167,0.334
20,장승현,삼성,0.143,12,9,7,1,1,0,0,0,1,0,0,0,1,2,0.143,0.333,0.476
21,심재훈,삼성,0.125,9,8,8,1,1,0,0,0,1,0,0,0,0,1,0.125,0.125,0.250
21,홍현빈,삼성,0.125,9,8,8,1,1,0,0,0,1,1,0,0,0,3,0.125,0.125,0.250
23,박계범,삼성,0.111,7,19,18,1,2,0,0,0,2,0,0,0,1,9,0.111,0.158,0.269
23,이성규,삼성,0.111,12,17,9,6,1,0,0,0,1,0,2,0,6,6,0.111,0.467,0.578
25,함수호,삼성,0.063,11,18,16,0,1,0,0,0,1,2,0,0,2,5,0.063,0.167,0.230
26,김재윤,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
26,윤정빈,삼성,0.000,1,3,3,0,0,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000
26,이승현,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
26,이해승,삼성,0.000,18,15,13,0,0,0,0,0,0,1,1,0,1,6,0.000,0.071,0.071
26,차승준,삼성,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
1,문정빈,LG,0.667,3,10,6,4,4,1,0,1,8,3,0,1,3,0,1.333,0.700,2.033
2,문성주,LG,0.366,26,97,82,6,30,6,0,0,36,12,2,2,9,11,0.439,0.432,0.871
3,오스틴,LG,0.359,42,194,170,33,61,10,3,11,110,36,0,1,21,23,0.647,0.433,1.080
4,문보경,LG,0.310,30,132,100,14,31,3,0,3,43,19,0,2,29,21,0.430,0.462,0.892
5,이영빈,LG,0.304,22,27,23,5,7,1,0,1,11,4,0,0,4,7,0.478,0.407,0.885
6,천성호,LG,0.289,41,149,135,23,39,7,1,1,51,15,2,0,11,19,0.378,0.347,0.725
7,구본혁,LG,0.287,41,112,94,11,27,1,0,0,28,8,6,0,11,16,0.298,0.368,0.666
