snapshot_date,snapshot_time,reference_date,scheduled_game_id,team,home_away,lineup_source,lineup_info_quality,batting_order,position,player,war,data_source
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729KTNC0,NC,H,confirmed,1.0,8,포수,안중열,0.39,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729KTNC0,NC,H,confirmed,1.0,9,중견수,천재환,0.20,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,SSG,H,confirmed,1.0,1,2루수,정준재,1.81,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,SSG,H,confirmed,1.0,2,유격수,박성한,4.28,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,SSG,H,confirmed,1.0,3,좌익수,마드리스,-0.06,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,SSG,H,confirmed,1.0,4,지명타자,김재환,0.80,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,SSG,H,confirmed,1.0,5,1루수,전의산,0.40,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,SSG,H,confirmed,1.0,6,중견수,최지훈,1.42,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,SSG,H,confirmed,1.0,7,우익수,한유섬,-0.24,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,SSG,H,confirmed,1.0,8,포수,조형우,0.45,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,SSG,H,confirmed,1.0,9,3루수,안상현,0.22,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,두산,A,confirmed,1.0,1,유격수,박찬호,2.29,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,두산,A,confirmed,1.0,2,1루수,세베리노,0.03,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,두산,A,confirmed,1.0,3,2루수,박준순,3.08,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,두산,A,confirmed,1.0,4,지명타자,양의지,2.32,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,두산,A,confirmed,1.0,5,좌익수,김민석,2.19,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,두산,A,confirmed,1.0,6,3루수,안재석,0.51,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,두산,A,confirmed,1.0,7,중견수,정수빈,1.40,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,두산,A,confirmed,1.0,8,포수,윤준호,0.43,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729OBSK0,두산,A,confirmed,1.0,9,우익수,김대한,-0.06,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,롯데,A,confirmed,1.0,1,중견수,황성빈,0.67,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,롯데,A,confirmed,1.0,2,2루수,고승민,1.33,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,롯데,A,confirmed,1.0,3,좌익수,레이예스,3.71,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,롯데,A,confirmed,1.0,4,3루수,한동희,0.75,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,롯데,A,confirmed,1.0,5,1루수,나승엽,0.26,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,롯데,A,confirmed,1.0,6,우익수,윤동희,0.42,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,롯데,A,confirmed,1.0,7,지명타자,유강남,-0.11,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,롯데,A,confirmed,1.0,8,유격수,전민재,1.76,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,롯데,A,confirmed,1.0,9,포수,손성빈,0.23,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729HTSS0,삼성,H,confirmed,1.0,1,중견수,김지찬,2.78,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729HTSS0,삼성,H,confirmed,1.0,2,우익수,김성윤,2.30,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729HTSS0,삼성,H,confirmed,1.0,3,좌익수,구자욱,2.94,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729HTSS0,삼성,H,confirmed,1.0,4,지명타자,최형우,3.06,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729HTSS0,삼성,H,confirmed,1.0,5,1루수,디아즈,2.69,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729HTSS0,삼성,H,confirmed,1.0,6,유격수,이재현,1.08,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729HTSS0,삼성,H,confirmed,1.0,7,포수,강민호,1.31,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729HTSS0,삼성,H,confirmed,1.0,8,2루수,류지혁,2.32,KBO GetLineUpAnalysis
