game_date,game_id,away_team,home_team,actual_winner,home_win,home_starter,away_starter,both_starters_known,starter_info_quality,home_starter_era_prior,away_starter_era_prior,starter_era_gap,home_starter_whip_prior,away_starter_whip_prior,starter_whip_gap,home_starter_recent3_era,away_starter_recent3_era,starter_recent3_era_gap,home_starter_recent3_ip,away_starter_recent3_ip,starter_recent3_ip_gap,home_starter_rest_days,away_starter_rest_days,starter_rest_days_gap,home_starter_recent_pitch_count,away_starter_recent_pitch_count,starter_recent_pitch_count_gap,home_bullpen_pitch_count_last1d,away_bullpen_pitch_count_last1d,bullpen_pitch_count_last1d_gap,home_bullpen_pitch_count_last3d,away_bullpen_pitch_count_last3d,bullpen_pitch_count_last3d_gap,home_bullpen_appearances_last3d,away_bullpen_appearances_last3d,bullpen_appearances_last3d_gap,home_previous_game_run_diff,away_previous_game_run_diff,previous_game_run_diff_gap,home_previous_game_bullpen_pitch_count,away_previous_game_bullpen_pitch_count,previous_game_bullpen_usage_gap,lineup_confirmed,lineup_feature_status,key_hitter_feature_status,excluded_leakage_columns,recent_10_win_rate_gap,season_win_rate_gap,season_avg_run_diff_gap,recent_5_runs_avg_gap,recent_5_allowed_avg_gap,recent_5_run_creation_gap,recent_10_run_creation_gap,recent_run_diff_10_gap,venue_win_rate_gap,games_last_7_days_gap,recent_3day_games_gap,rest_days_gap,bullpen_fatigue_score_gap,bullpen_fatigue_gap
2016-04-01,20160401HTNC0,KIA,NC,NC,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,,,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
2016-04-01,20160401KTSK0,KT,SK,KT,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,,,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
2016-04-01,20160401HHLG0,한화,LG,LG,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,,,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
2016-04-01,20160401LTWO0,롯데,넥센,롯데,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,,,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
2016-04-01,20160401OBSS0,두산,삼성,두산,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,,,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
2016-04-02,20160402HTNC0,KIA,NC,KIA,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0,1.0,1.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,1.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,0,0,0.0,0.0,0.0
2016-04-02,20160402KTSK0,KT,SK,SK,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0,4.0,4.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-1.0,0.0,0.0,-4.0,-4.0,0.0,-8.0,-8.0,0.0,0,0,0.0,0.0,0.0
2016-04-02,20160402HHLG0,한화,LG,LG,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0,1.0,1.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,1.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0,0,0.0,0.0,0.0
2016-04-02,20160402LTWO0,롯데,넥센,넥센,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0,1.0,1.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-1.0,0.0,-3.0,-1.0,-1.0,0.0,-2.0,-2.0,0.0,0,0,0.0,0.0,0.0
2016-04-02,20160402OBSS0,두산,삼성,삼성,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0,4.0,4.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-1.0,0.0,-2.0,-4.0,-4.0,0.0,-8.0,-8.0,0.0,0,0,0.0,0.0,0.0
