comparison_scope,games,production_accuracy,kt_challenger_accuracy,accuracy_delta,production_brier,kt_challenger_brier,brier_delta,production_log_loss,kt_challenger_log_loss,log_loss_delta,production_top_pick_accuracy,kt_challenger_pick_accuracy,agreement_games,agreement_accuracy,disagreement_games,production_accuracy_when_disagree,kt_accuracy_when_disagree,interpretation
all_kt_games,306,0.513,0.546,0.033,0.246,0.251,0.005,0.685,0.695,0.01,0.513,0.546,202,0.554,96,0.469,0.531,KT challenger outperforms production in this scope
current_season_kt_games,125,0.584,0.536,-0.048,0.241,0.246,0.005,0.675,0.684,0.009,0.584,0.536,93,0.581,32,0.594,0.406,No confirmed KT-specific edge in this scope
kt_home_games,156,0.538,0.551,0.013,0.247,0.244,-0.003,0.686,0.68,-0.006,0.538,0.551,104,0.577,49,0.49,0.51,KT challenger outperforms production in this scope
kt_away_games,150,0.487,0.54,0.053,0.245,0.258,0.013,0.684,0.711,0.027,0.487,0.54,98,0.531,47,0.447,0.553,KT challenger outperforms production in this scope
kt_close_games,77,0.468,0.571,0.103,0.248,0.245,-0.003,0.689,0.683,-0.006,0.468,0.571,52,0.538,24,0.333,0.667,KT challenger outperforms production in this scope
kt_high_confidence_games,185,0.53,0.557,0.027,0.245,0.251,0.006,0.683,0.697,0.014,0.53,0.557,136,0.574,42,0.476,0.524,KT challenger outperforms production in this scope
kt_model_and_production_agree,202,0.554,0.554,0.0,0.244,0.251,0.007,0.682,0.695,0.013,0.554,0.554,202,0.554,0,,,No confirmed KT-specific edge in this scope
kt_model_disagrees_with_production,96,0.469,0.531,0.062,0.249,0.25,0.001,0.69,0.693,0.003,0.469,0.531,0,,96,0.469,0.531,KT challenger outperforms production in this scope
