game_id,date,home_team,away_team,target_home_win,home_recent_10_win_rate,away_recent_10_win_rate,recent_10_win_rate_gap,season_win_rate_gap,season_avg_run_diff_gap,home_recent_5_runs_avg,away_recent_5_runs_avg,recent_5_runs_avg_gap,home_recent_5_allowed_avg,away_recent_5_allowed_avg,recent_5_allowed_avg_gap,recent_5_run_creation_gap,recent_10_run_creation_gap,recent_run_diff_10_gap,home_venue_win_rate,away_venue_win_rate,venue_win_rate_gap,home_games_last_7_days,away_games_last_7_days,games_last_7_days_gap,home_recent_3day_games,away_recent_3day_games,recent_3day_games_gap,home_rest_days,away_rest_days,rest_days_gap,home_bullpen_fatigue_proxy,away_bullpen_fatigue_proxy,home_bullpen_fatigue_score,away_bullpen_fatigue_score,bullpen_fatigue_score_gap,bullpen_fatigue_gap,home_starter_era,home_starter_whip,home_starter_info_quality,home_starter_source,home_starter_quality_score,away_starter_era,away_starter_whip,away_starter_info_quality,away_starter_source,away_starter_quality_score,starter_era_gap,starter_whip_gap,starter_quality_gap,both_starters_confirmed,partial_starter_confirmed,home_top3_hitter_ops_avg,home_team_ops_avg,home_hitter_dependency,home_top3_hitter_impact_score,home_pitcher_core_score,home_pitcher_dependency,away_top3_hitter_ops_avg,away_team_ops_avg,away_hitter_dependency,away_top3_hitter_impact_score,away_pitcher_core_score,away_pitcher_dependency,top3_hitter_ops_avg_gap,top3_hitter_impact_score_gap,hitter_dependency_gap,pitcher_core_score_gap,pitcher_dependency_gap
20160403KTSK0,2016-04-03,SK,KT,0,0.5,0.5,0.0,1.0,3.0,4.0,5.5,-1.5,5.5,4.0,-1.5,0.0,-3.0,-3.0,1.0,0.0,1.0,2,2,0,2.0,2.0,0,1.0,1.0,0.0,3.5,3.5,3.5,3.5,0.0,0.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.936,0.7074,0.2286,85.6917,61.4144,0.174,-0.936,-85.6917,-0.2286,-61.4144,-0.174
20160403LTWO0,2016-04-03,넥센,롯데,1,0.5,0.5,0.0,-0.5,-3.0,3.0,2.5,0.5,2.5,3.0,0.5,0.0,1.0,1.0,0.5,1.0,-0.5,2,2,0,2.0,2.0,0,1.0,1.0,0.0,3.5,3.5,3.5,3.5,0.0,0.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8647,0.7016,0.1631,80.1483,56.7454,0.2555,-0.8647,-80.1483,-0.1631,-56.7454,-0.2555
20160405LGHT0,2016-04-05,KIA,LG,1,0.5,1.0,-0.5,-1.0,-5.5,4.0,6.5,-2.5,4.0,5.5,1.5,-1.5,-1.0,-1.0,0.5,0.5,0.0,2,2,0,1.0,1.0,0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.9553,0.703,0.2524,87.0417,60.1922,0.2264,0.9787,0.6578,0.3208,88.4267,57.2853,0.0738,-0.023399999999999976,-1.384999999999991,-0.06839999999999996,2.9069000000000003,0.15259999999999999
20160405SSKT0,2016-04-05,KT,삼성,1,0.6667,0.5,0.1667,-0.3333,1.5,5.3333,5.5,-0.1667,4.0,5.5,1.5,-0.1667,1.3333,1.3333,0.5,0.5,0.0,3,2,-1,2.0,1.0,-1,2.0,3.0,-1.0,3.0,2.0,2.0,1.0,-1.0,-1.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.936,0.7074,0.2286,85.6917,61.4144,0.174,0.9337,0.6311,0.3025,85.4483,64.4516,0.1425,0.0023000000000000798,0.24339999999999407,-0.0739,-3.0371999999999986,0.0315
20160405NCOB0,2016-04-05,두산,NC,1,0.5,0.5,0.0,0.0,-0.5,5.5,4.0,1.5,5.5,4.0,-1.5,1.5,0.0,0.0,0.5,0.5,0.0,2,2,0,1.0,1.0,0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.858,0.7397,0.1183,79.1239,67.3592,0.2909,0.837,0.6773,0.1597,77.9833,57.8266,0.2843,0.02100000000000002,1.1406000000000063,-0.041400000000000006,9.532600000000002,0.006599999999999995
20160405SKLT0,2016-04-05,롯데,SK,1,0.3333,0.3333,0.0,0.3333,2.6667,3.3333,4.0,-0.6667,4.0,5.3333,1.3333,-2.0,0.6667,0.6667,0.5,0.5,0.0,3,3,0,2.0,2.0,0,2.0,2.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.8647,0.7016,0.1631,80.1483,56.7454,0.2555,0.0,0.0,0.0,0.0,0.0,0.0,0.8647,80.1483,0.1631,56.7454,0.2555
20160405WOHH0,2016-04-05,한화,넥센,1,0.0,0.6667,-0.6667,0.1667,-0.8333,5.5,4.0,1.5,6.5,3.3333,-3.1667,2.1667,-1.6667,-1.6667,0.5,0.5,0.0,2,3,1,1.0,2.0,1,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.935,0.7313,0.2037,83.2183,56.2326,0.3308,0.0,0.0,0.0,0.0,0.0,0.0,0.935,83.2183,0.2037,56.2326,0.3308
20160406SSKT0,2016-04-06,KT,삼성,0,0.75,0.3333,0.4167,-0.75,-2.5,6.0,4.6667,1.3333,3.75,6.3333,2.5833,-0.3333,3.9167,3.9167,1.0,2.0,-1.0,4,3,-1,2.0,1.0,-1,1.0,1.0,0.0,5.5,4.5,3.5,2.5,-1.0,-1.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.936,0.7074,0.2286,85.6917,61.4144,0.174,0.9337,0.6311,0.3025,85.4483,64.4516,0.1425,0.0023000000000000798,0.24339999999999407,-0.0739,-3.0371999999999986,0.0315
20160406NCOB0,2016-04-06,두산,NC,1,0.6667,0.3333,0.3333,0.0,-1.3333,5.6667,3.3333,2.3333,4.3333,4.6667,0.3333,1.0,2.6667,2.6667,1.0,1.0,0.0,3,3,0,1.0,1.0,0,1.0,1.0,0.0,4.5,4.5,2.5,2.5,0.0,0.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.858,0.7397,0.1183,79.1239,67.3592,0.2909,0.837,0.6773,0.1597,77.9833,57.8266,0.2843,0.02100000000000002,1.1406000000000063,-0.041400000000000006,9.532600000000002,0.006599999999999995
20160406SKLT0,2016-04-06,롯데,SK,1,0.5,0.25,0.25,0.5,3.0,3.0,3.25,-0.25,3.25,4.5,1.25,-1.5,1.0,1.0,2.0,0.0,2.0,4,4,0,2.0,2.0,0,1.0,1.0,0.0,5.5,5.5,3.5,3.5,0.0,0.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.8647,0.7016,0.1631,80.1483,56.7454,0.2555,0.0,0.0,0.0,0.0,0.0,0.0,0.8647,80.1483,0.1631,56.7454,0.2555
