game_id,date,home_team,away_team,home_score,away_score,run_diff,total_runs,target_home_win,home_recent_runs_avg,away_recent_runs_avg,home_recent_allowed_avg,away_recent_allowed_avg,home_season_runs_avg,away_season_runs_avg,home_season_allowed_avg,away_season_allowed_avg,recent_runs_avg_gap,recent_allowed_avg_gap,season_runs_avg_gap,season_allowed_avg_gap,recent_run_diff_gap,season_run_diff_gap,home_recent_10_win_rate,away_recent_10_win_rate,recent_10_win_rate_gap,home_rest_days,away_rest_days,rest_days_gap,venue_win_rate_gap,elo_diff
20160407LGHT0,2016-04-07,KIA,LG,4.0,8.0,-4.0,12.0,0,4.0,4.6667,3.0,5.0,8.0,10.3333,8.0,9.6667,-0.6667,2.0,-2.3333,1.6667,1.3333,-0.6667,0.6667,0.6667,0.0,2.0,2.0,0.0,0.0,2.2341
20160407SSKT0,2016-04-07,KT,삼성,1.0,3.0,-2.0,4.0,0,6.0,6.25,5.2,6.25,3.2,6.5,3.4,5.5,-0.25,1.05,-3.3,2.1,0.8,-1.2,0.6,0.5,0.1,1.0,1.0,0.0,-0.5,6.7422
20160407NCOB0,2016-04-07,두산,NC,2.0,8.0,-6.0,10.0,0,4.75,2.5,3.25,4.0,7.5,5.5,6.5,4.75,2.25,0.75,2.0,-1.75,3.0,0.25,0.75,0.25,0.5,1.0,1.0,0.0,0.5,38.85
20160407SKLT0,2016-04-07,롯데,SK,3.0,8.0,-5.0,11.0,0,4.6,2.8,2.8,5.8,4.2,3.6,4.2,3.6,1.8,3.0,0.6,-0.6,4.8,0.0,0.6,0.2,0.4,1.0,1.0,0.0,0.5,37.8872
20160407WOHH0,2016-04-07,한화,넥센,3.0,7.0,-4.0,10.0,0,6.0,4.6,6.0,4.6,7.0,4.4,6.5,6.4,1.4,-1.4,2.6,-0.1,0.0,2.5,0.25,0.6,-0.35,1.0,1.0,0.0,0.5,-27.7715
20160408HTKT0,2016-04-08,KT,KIA,4.0,0.0,4.0,4.0,1,4.6,4.0,5.0,4.25,2.6667,6.75,3.5,7.75,0.6,-0.75,-4.0833,4.25,-0.15,0.1667,0.5,0.5,0.0,1.0,1.0,0.0,-0.1667,-2.8591
20160408LGSK0,2016-04-08,SK,LG,3.0,2.0,1.0,5.0,1,3.6,5.5,4.8,4.75,3.8333,8.75,3.6667,7.25,-1.9,-0.05,-4.9167,3.5833,-1.95,-1.3333,0.3333,0.75,-0.4167,1.0,1.0,0.0,-0.3333,-36.8047
20160408HHNC0,2016-04-08,NC,한화,5.0,4.0,1.0,9.0,1,3.6,5.4,3.6,6.2,4.8,7.0,4.4,5.8,-1.8,2.6,-2.2,1.4,0.8,-0.8,0.4,0.2,0.2,1.0,1.0,0.0,-1.0,18.6432
20160408WOOB0,2016-04-08,두산,넥센,6.0,4.0,2.0,10.0,1,4.2,5.8,4.2,4.8,6.8,4.1667,6.4,5.6667,-1.6,0.6,2.6333,-0.7333,-1.0,1.9,0.6,0.6667,-0.0667,1.0,1.0,0.0,0.0,-10.9102
20160408SSLT0,2016-04-08,롯데,삼성,3.0,7.0,-4.0,10.0,0,4.8,5.6,4.2,5.2,4.5,5.8,4.1667,5.8,-0.8,1.0,-1.3,1.6333,0.2,0.3333,0.5,0.6,-0.1,1.0,1.0,0.0,0.3333,-13.9821
20160409HTKT0,2016-04-09,KT,KIA,3.0,6.0,-3.0,9.0,0,4.8,3.2,4.2,4.2,3.1429,6.2,3.4286,7.2,1.6,0.0,-3.0571,3.7714,1.6,0.7143,0.5714,0.4,0.1714,1.0,1.0,0.0,0.5,17.3055
20160409LGSK0,2016-04-09,SK,LG,4.0,3.0,1.0,7.0,1,3.4,4.8,4.6,4.4,4.7143,7.6,3.2857,7.0,-1.4,-0.2,-2.8857,3.7143,-1.6,0.8286,0.4286,0.6,-0.1714,1.0,1.0,0.0,0.0833,-14.6939
20160409HHNC0,2016-04-09,NC,한화,10.0,1.0,9.0,11.0,1,3.6,5.4,3.6,6.2,4.5,6.5,4.3333,6.0,-1.8,2.6,-2.0,1.6667,0.8,-0.3333,0.5,0.1667,0.3333,1.0,1.0,0.0,-0.6667,37.5711
20160409SSLT0,2016-04-09,롯데,삼성,7.0,4.0,3.0,11.0,1,4.8,6.8,4.6,4.8,4.1429,6.0,5.2857,5.5,-2.0,0.2,-1.8571,0.2143,-1.8,-1.6429,0.4286,0.6667,-0.2381,1.0,1.0,0.0,0.0,-33.1776
20160410HTKT0,2016-04-10,KT,KIA,9.0,6.0,3.0,15.0,1,4.4,3.6,4.6,3.8,3.5,5.3333,4.125,7.6667,0.8,-0.8,-1.8333,3.5417,0.0,1.7083,0.5,0.5,0.0,1.0,1.0,0.0,0.4,-3.6899
20160410LGSK0,2016-04-10,SK,LG,7.0,6.0,1.0,13.0,1,3.4,4.4,4.2,4.4,4.25,7.8333,3.125,6.8333,-1.0,0.2,-3.5833,3.7083,-0.8,0.125,0.5,0.5,0.0,1.0,1.0,0.0,-0.15,6.1514
20160410HHNC0,2016-04-10,NC,한화,1.0,2.0,-1.0,3.0,0,5.0,4.2,3.0,6.6,4.7143,5.7143,4.7143,5.8571,0.8,3.6,-1.0,1.1429,4.4,0.1429,0.5714,0.1429,0.4286,1.0,1.0,0.0,-0.5,55.4167
20160410WOOB0,2016-04-10,두산,넥센,4.0,5.0,-1.0,9.0,0,4.4,5.6,4.8,5.4,6.5,5.1429,6.0,6.1429,-1.2,0.6,1.3571,0.1429,-0.6,1.5,0.6667,0.5714,0.0952,2.0,2.0,0.0,-0.25,9.7177
20160410SSLT0,2016-04-10,롯데,삼성,5.0,1.0,4.0,6.0,1,5.2,5.6,4.2,5.0,3.875,5.8571,3.75,4.8571,-0.4,0.8,-1.9821,1.1071,0.4,-0.875,0.5,0.5714,-0.0714,1.0,1.0,0.0,-0.2,-11.2735
20160412HTSK0,2016-04-12,SK,KIA,6.0,7.0,-1.0,13.0,0,4.6,4.0,5.0,5.0,4.3333,4.8571,4.5556,6.7143,0.6,0.0,-0.5238,2.1587,0.6,1.6349,0.5556,0.4286,0.127,2.0,2.0,0.0,-0.0333,22.0817
20160412KTWO0,2016-04-12,넥센,KT,5.0,2.0,3.0,7.0,1,5.4,4.6,5.2,5.2,5.25,3.8889,6.25,4.3333,0.8,0.0,1.3611,-1.9167,0.8,-0.5556,0.625,0.5556,0.0694,2.0,2.0,0.0,0.3333,10.7279
20160412LTLG0,2016-04-12,LG,롯데,12.0,11.0,1.0,23.0,1,4.0,5.8,4.4,4.2,7.0,4.3333,6.5714,3.5556,-1.8,-0.2,2.6667,-3.0159,-2.0,-0.3492,0.4286,0.5556,-0.127,2.0,2.0,0.0,0.3333,-21.8898
20160412NCSS0,2016-04-12,삼성,NC,16.0,5.0,11.0,21.0,1,5.2,4.8,4.4,2.2,6.5,5.625,5.75,5.5,0.4,-2.2,0.875,-0.25,-1.8,0.625,0.5,0.5,0.0,2.0,2.0,0.0,-0.5,2.2422
20160412OBHH0,2016-04-12,한화,두산,2.0,8.0,-6.0,10.0,0,2.8,4.0,5.8,3.8,7.0,6.2857,5.75,5.4286,-1.2,-2.0,0.7143,-0.3214,-3.2,0.3929,0.25,0.5714,-0.3214,2.0,2.0,0.0,-0.8333,-42.1055
20160413HTSK0,2016-04-13,SK,KIA,2.0,0.0,2.0,2.0,1,5.6,4.6,4.2,6.0,4.6,4.5,4.3,6.875,1.0,1.8,0.1,2.575,2.8,2.675,0.5,0.5,0.0,1.0,1.0,0.0,0.119,0.8123
20160413KTWO0,2016-04-13,넥센,KT,6.0,7.0,-1.0,13.0,0,5.4,3.8,3.8,4.0,4.8889,3.5,5.5556,4.1,1.6,0.2,1.3889,-1.4556,1.8,-0.0667,0.6667,0.5,0.1667,1.0,1.0,0.0,0.5,30.1105
20160413LTLG0,2016-04-13,LG,롯데,5.0,3.0,2.0,8.0,1,6.2,5.8,5.8,6.4,7.0,4.6,6.5,3.5,0.4,0.6,2.4,-3.0,1.0,-0.6,0.5,0.5,0.0,1.0,1.0,0.0,0.25,-0.6314
20160413NCSS0,2016-04-13,삼성,NC,2.0,7.0,-5.0,9.0,0,6.2,5.8,4.2,5.0,6.1111,5.5556,5.6667,5.2222,0.4,0.8,0.5556,-0.4444,1.2,0.1111,0.5556,0.4444,0.1111,1.0,1.0,0.0,-0.6667,22.1131
20160413OBHH0,2016-04-13,한화,두산,3.0,7.0,-4.0,10.0,0,2.4,4.4,6.2,3.8,6.4444,6.25,5.8889,5.625,-2.0,-2.4,0.1944,-0.2639,-4.4,-0.0694,0.2222,0.625,-0.4028,1.0,1.0,0.0,-0.5,-59.6935
20160414HTSK0,2016-04-14,SK,KIA,7.0,6.0,1.0,13.0,1,4.4,3.8,3.6,4.8,4.6364,4.3333,4.5455,6.8889,0.6,1.2,0.303,2.3434,1.8,2.6465,0.6,0.4444,0.1556,1.0,1.0,0.0,0.1071,20.7655
20160414KTWO0,2016-04-14,넥센,KT,4.0,5.0,-1.0,9.0,0,5.4,5.0,4.4,4.6,5.1,3.7273,5.6,4.3636,0.4,0.2,1.3727,-1.2364,0.6,0.1364,0.6,0.5,0.1,1.0,1.0,0.0,0.6,8.3815
20160414LTLG0,2016-04-14,LG,롯데,0.0,9.0,-9.0,9.0,0,5.6,5.8,5.6,5.8,6.7778,5.7273,6.2222,3.3636,-0.2,0.2,1.0505,-2.8586,0.0,-1.8081,0.5556,0.4,0.1556,1.0,1.0,0.0,0.2,19.405
20160414NCSS0,2016-04-14,삼성,NC,7.0,5.0,2.0,12.0,1,6.0,5.6,5.4,5.0,6.4,5.0,5.1,5.6,0.4,-0.4,1.4,0.5,0.0,1.9,0.5,0.5,0.0,1.0,1.0,0.0,-0.3,0.8419
20160414OBHH0,2016-04-14,한화,두산,2.0,17.0,-15.0,19.0,0,2.4,5.4,6.2,4.4,6.5,6.0,5.8,5.5556,-3.0,-1.8,0.5,-0.2444,-4.8,0.2556,0.2,0.6667,-0.4667,1.0,1.0,0.0,-0.15,-76.2907
20160415WOHT0,2016-04-15,KIA,넥센,11.0,6.0,5.0,17.0,1,5.0,4.8,5.4,4.8,4.1,5.2727,7.9,5.3636,0.2,-0.6,-1.1727,-2.5364,-0.4,-3.7091,0.4,0.6,-0.2,1.0,1.0,0.0,0.1,-24.581
20160415SKKT0,2016-04-15,KT,SK,3.0,7.0,-4.0,10.0,0,5.2,5.2,5.4,4.4,4.3333,4.5,4.5,4.1667,0.0,-1.0,-0.1667,-0.3333,-1.0,-0.5,0.6,0.6,0.0,1.0,1.0,0.0,-1.0,-2.8898
20160415LGHH0,2016-04-15,한화,LG,2.0,18.0,-16.0,20.0,0,2.0,5.2,8.6,6.8,6.0909,6.4,5.9091,6.3,-3.2,-1.8,-0.3091,0.3909,-5.0,0.0818,0.2,0.5,-0.3,1.0,1.0,0.0,-0.1,-57.0019
20160415LTNC0,2016-04-15,NC,롯데,3.0,0.0,3.0,3.0,1,5.6,7.0,5.6,4.4,6.1818,5.8333,5.2727,3.25,-1.4,-1.2,0.3485,-2.0227,-2.6,-1.6742,0.4,0.5,-0.1,1.0,1.0,0.0,-0.2667,-10.8036
20160415SSOB0,2016-04-15,두산,삼성,7.0,2.0,5.0,9.0,1,8.4,6.0,3.2,5.8,6.0,5.8182,6.1,4.9091,2.4,2.6,0.1818,-1.1909,5.0,-1.0091,0.7,0.6,0.1,1.0,1.0,0.0,0.2667,23.2656
20160417WOHT0,2016-04-17,KIA,넥센,1.0,2.0,-1.0,3.0,0,6.0,5.2,6.0,5.8,3.9091,5.6667,8.8182,5.4167,0.8,-0.2,-1.7576,-3.4015,0.6,-5.1591,0.5,0.5,0.0,2.0,2.0,0.0,-0.1667,-3.1683
20160417SKKT0,2016-04-17,KT,SK,6.0,10.0,-4.0,16.0,0,5.2,5.8,5.6,4.4,4.0769,4.5385,4.3077,4.4615,-0.6,-1.2,-0.4615,0.1538,-1.8,-0.3077,0.5,0.7,-0.2,2.0,2.0,0.0,-0.7143,-22.7234
20160417LGHH0,2016-04-17,한화,LG,4.0,6.0,-2.0,10.0,0,2.2,8.2,10.2,6.4,5.75,6.3636,5.9167,6.6364,-6.0,-3.8,-0.6136,0.7197,-9.8,0.1061,0.2,0.5,-0.3,2.0,2.0,0.0,-0.0714,-73.7497
20160417LTNC0,2016-04-17,NC,롯데,5.0,8.0,-3.0,13.0,0,4.2,5.6,5.4,4.2,6.1667,5.8462,5.1667,3.1538,-1.4,-1.2,0.3205,-2.0128,-2.6,-1.6923,0.5,0.5,0.0,2.0,2.0,0.0,-0.2143,9.8181
20160417SSOB0,2016-04-17,두산,삼성,6.0,2.0,4.0,8.0,1,8.6,5.6,2.8,5.8,5.6364,6.0,5.6364,4.9167,3.0,3.0,-0.3636,-0.7197,6.0,-1.0833,0.7,0.5,0.2,2.0,2.0,0.0,0.2381,41.9284
20160419SSHT0,2016-04-19,KIA,삼성,7.0,2.0,5.0,9.0,1,5.0,5.8,4.6,6.0,3.9167,5.8462,8.5833,4.7692,-0.8,1.4,-1.9295,-3.8141,0.6,-5.7436,0.4,0.5,-0.1,2.0,2.0,0.0,-0.375,-7.8916
20160419OBKT0,2016-04-19,KT,두산,2.0,3.0,-1.0,5.0,0,4.6,9.0,6.4,2.2,4.2857,5.4167,4.1429,5.25,-4.4,-4.2,-1.131,1.1071,-8.6,-0.0238,0.4,0.8,-0.4,2.0,2.0,0.0,-0.625,-50.7974
20160419NCLG0,2016-04-19,LG,NC,1.0,8.0,-7.0,9.0,0,8.2,5.0,5.8,6.6,6.0,5.7692,6.3333,5.3846,3.2,0.8,0.2308,-0.9487,4.0,-0.7179,0.5,0.5,0.0,2.0,2.0,0.0,-0.0667,25.3469
20160419WOSK0,2016-04-19,SK,넥센,1.0,3.0,-2.0,4.0,0,6.4,4.6,4.4,5.2,4.7857,5.3077,4.2143,5.2308,1.8,0.8,-0.522,1.0165,2.6,0.4945,0.8,0.5,0.3,2.0,2.0,0.0,-0.5238,35.0518
20160419HHLT0,2016-04-19,롯데,한화,4.0,3.0,1.0,7.0,1,6.2,2.6,5.0,11.2,5.6429,5.4615,3.0714,6.0,3.6,6.2,0.1813,2.9286,9.8,3.1099,0.5,0.1,0.4,2.0,2.0,0.0,0.2333,74.967
20160420SSHT0,2016-04-20,KIA,삼성,1.0,2.0,-1.0,3.0,0,5.0,3.0,3.8,6.4,3.8462,6.1429,8.2308,4.7143,2.0,2.6,-2.2967,-3.5165,4.6,-5.8132,0.4,0.4,0.0,1.0,1.0,0.0,-0.4667,12.5626
20160420OBKT0,2016-04-20,KT,두산,4.0,13.0,-9.0,17.0,0,4.6,8.0,6.0,2.2,4.0667,5.0769,4.0,5.5385,-3.4,-3.8,-1.0103,1.5385,-7.2,0.5282,0.4,0.8,-0.4,1.0,1.0,0.0,-0.5,-67.894
20160420NCLG0,2016-04-20,LG,NC,6.0,3.0,3.0,9.0,1,6.0,5.6,5.2,3.6,5.8462,5.7857,6.8462,5.2143,0.4,-1.6,0.0604,-1.6319,-1.2,-1.5714,0.5,0.6,-0.1,1.0,1.0,0.0,-0.2143,3.8904
20160420WOSK0,2016-04-20,SK,넥센,9.0,1.0,8.0,10.0,1,5.4,4.2,3.6,5.0,4.6667,5.5714,4.3333,4.9286,1.2,1.4,-0.9048,0.5952,2.6,-0.3095,0.8,0.6,0.2,1.0,1.0,0.0,-0.575,13.0409
20160420HHLT0,2016-04-20,롯데,한화,10.0,4.0,6.0,14.0,1,4.8,2.8,3.2,10.4,6.1333,5.2143,3.1333,5.6429,2.0,7.2,0.919,2.5095,9.2,3.4286,0.5,0.1,0.4,1.0,1.0,0.0,0.1905,90.7173
20160421SSHT0,2016-04-21,KIA,삼성,1.0,8.0,-7.0,9.0,0,5.2,3.0,3.8,5.2,3.8571,6.0667,8.3571,5.0,2.2,1.4,-2.2095,-3.3571,3.6,-5.5667,0.4,0.4,0.0,1.0,1.0,0.0,-0.4333,-8.1602
20160421OBKT0,2016-04-21,KT,두산,8.0,3.0,5.0,11.0,1,4.0,9.2,7.4,2.4,3.875,4.8571,4.25,5.3571,-5.2,-5.0,-0.9821,1.1071,-10.2,0.125,0.4,0.8,-0.4,1.0,1.0,0.0,-0.4143,-84.0347
20160421NCLG0,2016-04-21,LG,NC,5.0,8.0,-3.0,13.0,0,6.2,4.8,5.2,4.4,6.0,5.7333,6.5714,5.4,1.4,-0.8,0.2667,-1.1714,0.6,-0.9048,0.5,0.5,0.0,1.0,1.0,0.0,-0.0536,23.6664
20160421WOSK0,2016-04-21,SK,넥센,3.0,2.0,1.0,5.0,1,6.8,3.2,3.8,5.4,4.875,5.4,4.375,4.7333,3.6,1.6,-0.525,0.3583,5.2,-0.1667,0.8,0.5,0.3,1.0,1.0,0.0,-0.5253,32.2906
20160421HHLT0,2016-04-21,롯데,한화,5.0,9.0,-4.0,14.0,0,6.2,3.0,3.0,11.0,5.9375,5.4,3.4375,5.3333,3.2,8.0,0.5375,1.8958,11.2,2.4333,0.6,0.1,0.5,1.0,1.0,0.0,0.0357,105.6107
20160422HTLT0,2016-04-22,롯데,KIA,7.0,5.0,2.0,12.0,1,5.4,4.2,4.8,4.0,6.0588,4.2,3.3529,8.1333,1.2,-0.8,1.8588,4.7804,0.4,6.6392,0.6,0.4,0.2,1.0,1.0,0.0,0.4167,28.2757
20160422KTSS0,2016-04-22,삼성,KT,3.0,13.0,-10.0,16.0,0,3.2,4.6,4.4,7.2,6.125,3.9412,5.0,4.4118,-1.4,2.8,2.1838,-0.5882,1.4,1.5956,0.4,0.4,0.0,1.0,1.0,0.0,0.9,5.4165
20160422LGWO0,2016-04-22,넥센,LG,10.0,2.0,8.0,12.0,1,2.8,7.2,5.0,5.0,5.375,6.4667,4.8125,6.3333,-4.4,0.0,-1.0917,1.5208,-4.4,0.4292,0.4,0.5,-0.1,1.0,1.0,0.0,0.619,-3.7901
20160422NCSK0,2016-04-22,SK,NC,5.0,6.0,-1.0,11.0,0,6.0,5.4,3.0,4.0,4.9412,5.5,4.4118,5.6875,0.6,1.0,-0.5588,1.2757,1.6,0.7169,0.8,0.5,0.3,1.0,1.0,0.0,0.0833,48.9532
