date,game_id,team,opponent,is_home,month,series_game_no,rest_days,recent_5_win_rate,avg_score_last_5,avg_allowed_last_5,avg_run_diff_last_5,target_win
2026-04-02,20260402WOSK0_키움,키움,SSG,0,4,3,1.0,0.25,6.75,7.75,-1.0,0
2026-04-02,20260402KTHH0_한화,한화,KT,1,4,3,1.0,0.5,8.75,9.0,-0.25,0
2026-04-03,20260403NCHT0_KIA,KIA,NC,1,4,1,1.0,0.2,4.4,5.8,-1.4,0
2026-04-03,20260403SSKT0_KT,KT,삼성,1,4,1,1.0,1.0,10.6,7.0,3.6,0
2026-04-03,20260403LGWO0_LG,LG,키움,0,4,1,1.0,0.4,4.6,5.4,-0.8,0
2026-04-03,20260403NCHT0_NC,NC,KIA,0,4,1,1.0,0.8,6.8,3.8,3.0,1
2026-04-03,20260403SKLT0_SSG,SSG,롯데,0,4,1,1.0,0.8,8.0,5.4,2.6,1
2026-04-03,20260403HHOB0_두산,두산,한화,1,4,1,1.0,0.25,3.5,7.5,-4.0,0
2026-04-03,20260403SKLT0_롯데,롯데,SSG,1,4,1,1.0,0.4,4.4,5.4,-1.0,0
2026-04-03,20260403SSKT0_삼성,삼성,KT,0,4,1,1.0,0.5,5.75,4.25,1.5,1
2026-04-03,20260403LGWO0_키움,키움,LG,1,4,1,1.0,0.2,5.6,8.4,-2.8,1
2026-04-03,20260403HHOB0_한화,한화,두산,0,4,1,1.0,0.4,8.6,9.8,-1.2,1
2026-04-04,20260404NCHT0_KIA,KIA,NC,1,4,2,1.0,0.2,3.6,5.4,-1.8,0
2026-04-04,20260404SSKT0_KT,KT,삼성,1,4,2,1.0,0.8,8.6,6.0,2.6,0
2026-04-04,20260404LGWO0_LG,LG,키움,0,4,2,1.0,0.4,3.6,4.2,-0.6,1
2026-04-04,20260404NCHT0_NC,NC,KIA,0,4,2,1.0,0.8,6.6,4.2,2.4,1
2026-04-04,20260404SKLT0_SSG,SSG,롯데,0,4,2,1.0,0.8,10.0,4.6,5.4,1
2026-04-04,20260404HHOB0_두산,두산,한화,1,4,2,1.0,0.2,4.0,8.2,-4.2,0
2026-04-04,20260404SKLT0_롯데,롯데,SSG,1,4,2,1.0,0.2,3.6,8.2,-4.6,0
2026-04-04,20260404SSKT0_삼성,삼성,KT,0,4,2,1.0,0.6,5.0,3.6,1.4,1
2026-04-04,20260404LGWO0_키움,키움,LG,1,4,2,1.0,0.4,4.8,6.8,-2.0,0
2026-04-04,20260404HHOB0_한화,한화,두산,0,4,2,1.0,0.4,8.8,9.2,-0.4,1
2026-04-05,20260405NCHT0_KIA,KIA,NC,1,4,3,1.0,0.2,2.4,4.4,-2.0,1
2026-04-05,20260405SSKT0_KT,KT,삼성,1,4,3,1.0,0.6,8.6,6.6,2.0,1
2026-04-05,20260405LGWO0_LG,LG,키움,0,4,3,1.0,0.6,3.8,3.8,0.0,1
2026-04-05,20260405NCHT0_NC,NC,KIA,0,4,3,1.0,1.0,6.6,2.4,4.2,0
2026-04-05,20260405SKLT0_SSG,SSG,롯데,0,4,3,1.0,0.8,9.2,4.6,4.6,1
2026-04-05,20260405HHOB0_두산,두산,한화,1,4,3,1.0,0.2,4.6,8.8,-4.2,1
2026-04-05,20260405SKLT0_롯데,롯데,SSG,1,4,3,1.0,0.0,3.6,9.2,-5.6,0
2026-04-05,20260405SSKT0_삼성,삼성,KT,0,4,3,1.0,0.8,6.0,3.6,2.4,0
2026-04-05,20260405LGWO0_키움,키움,LG,1,4,3,1.0,0.4,4.8,6.0,-1.2,0
2026-04-05,20260405HHOB0_한화,한화,두산,0,4,3,1.0,0.4,8.6,9.0,-0.4,0
2026-04-07,20260407SSHT0_KIA,KIA,삼성,1,4,1,2.0,0.2,1.6,4.0,-2.4,0
2026-04-07,20260407KTLT0_KT,KT,롯데,0,4,1,2.0,0.6,7.2,5.8,1.4,1
2026-04-07,20260407LGNC0_LG,LG,NC,0,4,1,2.0,0.8,4.6,3.4,1.2,1
2026-04-07,20260407LGNC0_NC,NC,LG,1,4,1,2.0,0.8,4.8,2.6,2.2,0
2026-04-07,20260407HHSK0_SSG,SSG,한화,1,4,1,2.0,0.8,8.2,4.6,3.6,0
2026-04-07,20260407WOOB0_두산,두산,키움,1,4,1,2.0,0.2,4.4,7.6,-3.2,0
2026-04-07,20260407KTLT0_롯데,롯데,KT,1,4,1,2.0,0.0,3.8,8.2,-4.4,0
2026-04-07,20260407SSHT0_삼성,삼성,KIA,0,4,1,2.0,0.8,5.6,2.8,2.8,1
