date,game_id,team,opponent,is_home,month,series_game_no,rest_days,recent_5_win_rate,avg_score_last_5,avg_allowed_last_5,avg_run_diff_last_5,target_win
2026-04-28,20260428LGKT0_LG,LG,KT,0,4,1,2.0,0.6,4.2,3.6,0.6,0
2026-04-28,20260428HTNC0_NC,NC,KIA,1,4,1,2.0,0.6,5.0,3.8,1.2,1
2026-04-28,20260428SKHH0_SSG,SSG,한화,0,4,1,2.0,0.8,4.2,3.4,0.8,0
2026-04-28,20260428SSOB0_두산,두산,삼성,1,4,1,2.0,0.4,4.0,4.2,-0.2,0
2026-04-28,20260428WOLT0_롯데,롯데,키움,1,4,1,3.0,0.2,2.4,4.8,-2.4,1
2026-04-28,20260428SSOB0_삼성,삼성,두산,0,4,1,2.0,0.0,2.0,4.6,-2.6,1
2026-04-28,20260428WOLT0_키움,키움,롯데,0,4,1,2.0,0.8,3.4,3.6,-0.2,0
2026-04-28,20260428SKHH0_한화,한화,SSG,1,4,1,2.0,0.4,4.4,4.0,0.4,1
2026-04-29,20260429HTNC0_KIA,KIA,NC,0,4,2,1.0,0.4,3.6,4.8,-1.2,1
2026-04-29,20260429LGKT0_KT,KT,LG,1,4,2,1.0,0.6,5.4,3.6,1.8,1
2026-04-29,20260429LGKT0_LG,LG,KT,0,4,2,1.0,0.4,4.6,4.8,-0.2,0
2026-04-29,20260429HTNC0_NC,NC,KIA,1,4,2,1.0,0.8,6.0,4.0,2.0,0
2026-04-29,20260429SKHH0_SSG,SSG,한화,0,4,2,1.0,0.6,4.8,4.4,0.4,1
2026-04-29,20260429SSOB0_두산,두산,삼성,1,4,2,1.0,0.2,3.0,5.0,-2.0,1
2026-04-29,20260429WOLT0_롯데,롯데,키움,1,4,2,1.0,0.4,3.0,4.4,-1.4,0
2026-04-29,20260429SSOB0_삼성,삼성,두산,0,4,2,1.0,0.2,2.6,4.8,-2.2,0
2026-04-29,20260429WOLT0_키움,키움,롯데,0,4,2,1.0,0.6,3.6,4.6,-1.0,1
2026-04-29,20260429SKHH0_한화,한화,SSG,1,4,2,1.0,0.6,5.8,4.6,1.2,0
2026-04-30,20260430HTNC0_KIA,KIA,NC,0,4,3,1.0,0.6,4.8,4.0,0.8,0
2026-04-30,20260430LGKT0_KT,KT,LG,1,4,3,1.0,0.6,4.8,3.8,1.0,0
2026-04-30,20260430LGKT0_LG,LG,KT,0,4,3,1.0,0.4,4.6,4.2,0.4,1
2026-04-30,20260430HTNC0_NC,NC,KIA,1,4,3,1.0,0.6,4.4,5.4,-1.0,1
2026-04-30,20260430SKHH0_SSG,SSG,한화,0,4,3,1.0,0.6,4.4,4.2,0.2,1
2026-04-30,20260430SSOB0_두산,두산,삼성,1,4,3,1.0,0.4,3.6,3.8,-0.2,1
2026-04-30,20260430WOLT0_롯데,롯데,키움,1,4,3,1.0,0.4,3.8,3.8,0.0,1
2026-04-30,20260430SSOB0_삼성,삼성,두산,0,4,3,1.0,0.2,2.2,4.0,-1.8,0
2026-04-30,20260430WOLT0_키움,키움,롯데,0,4,3,1.0,0.8,4.4,3.2,1.2,0
2026-04-30,20260430SKHH0_한화,한화,SSG,1,4,3,1.0,0.4,4.4,5.0,-0.6,0
2026-05-01,20260501KTHT0_KIA,KIA,KT,1,5,1,1.0,0.6,4.6,3.8,0.8,0
2026-05-01,20260501KTHT0_KT,KT,KIA,0,5,1,1.0,0.6,5.8,4.0,1.8,1
2026-05-01,20260501NCLG0_LG,LG,NC,1,5,1,1.0,0.4,5.0,5.0,0.0,1
2026-05-01,20260501NCLG0_NC,NC,LG,0,5,1,1.0,0.6,4.4,5.2,-0.8,0
2026-05-01,20260501LTSK0_SSG,SSG,롯데,1,5,1,1.0,0.6,6.2,4.8,1.4,0
2026-05-01,20260501OBWO0_두산,두산,키움,0,5,1,1.0,0.6,5.0,4.0,1.0,1
2026-05-01,20260501LTSK0_롯데,롯데,SSG,0,5,1,1.0,0.4,3.2,3.8,-0.6,1
2026-05-01,20260501HHSS0_삼성,삼성,한화,1,5,1,1.0,0.2,2.4,4.4,-2.0,1
2026-05-01,20260501OBWO0_키움,키움,두산,1,5,1,1.0,0.6,3.4,3.0,0.4,0
2026-05-01,20260501HHSS0_한화,한화,삼성,0,5,1,1.0,0.4,4.4,6.4,-2.0,0
2026-05-02,20260502KTHT0_KIA,KIA,KT,1,5,2,1.0,0.4,4.4,4.6,-0.2,1
2026-05-02,20260502KTHT0_KT,KT,KIA,0,5,2,1.0,0.8,6.4,4.0,2.4,0
2026-05-02,20260502NCLG0_LG,LG,NC,1,5,2,1.0,0.4,4.6,4.2,0.4,1
2026-05-02,20260502NCLG0_NC,NC,LG,0,5,2,1.0,0.6,4.4,4.6,-0.2,0
2026-05-02,20260502LTSK0_SSG,SSG,롯데,1,5,2,1.0,0.4,7.0,6.6,0.4,0
2026-05-02,20260502OBWO0_두산,두산,키움,0,5,2,1.0,0.8,7.2,3.8,3.4,0
2026-05-02,20260502LTSK0_롯데,롯데,SSG,0,5,2,1.0,0.6,5.2,4.4,0.8,1
2026-05-02,20260502HHSS0_삼성,삼성,한화,1,5,2,1.0,0.4,2.8,4.2,-1.4,0
2026-05-02,20260502OBWO0_키움,키움,두산,1,5,2,1.0,0.4,3.8,5.8,-2.0,1
2026-05-02,20260502HHSS0_한화,한화,삼성,0,5,2,1.0,0.2,3.4,7.0,-3.6,1
2026-05-03,20260503KTHT0_KIA,KIA,KT,1,5,3,1.0,0.4,4.8,4.0,0.8,0
2026-05-03,20260503KTHT0_KT,KT,KIA,0,5,3,1.0,0.6,4.0,4.8,-0.8,1
2026-05-03,20260503NCLG0_LG,LG,NC,1,5,3,1.0,0.6,6.6,4.4,2.2,0
2026-05-03,20260503NCLG0_NC,NC,LG,0,5,3,1.0,0.4,4.4,6.6,-2.2,1
2026-05-03,20260503LTSK0_SSG,SSG,롯데,1,5,3,1.0,0.4,7.6,5.6,2.0,0
2026-05-03,20260503OBWO0_두산,두산,키움,0,5,3,1.0,0.6,6.8,4.0,2.8,1
2026-05-03,20260503LTSK0_롯데,롯데,SSG,0,5,3,1.0,0.8,6.0,4.6,1.4,1
2026-05-03,20260503HHSS0_삼성,삼성,한화,1,5,3,1.0,0.4,3.4,6.4,-3.0,1
2026-05-03,20260503OBWO0_키움,키움,두산,1,5,3,1.0,0.4,4.2,6.2,-2.0,0
2026-05-03,20260503HHSS0_한화,한화,삼성,0,5,3,1.0,0.4,5.4,6.6,-1.2,0
2026-05-05,20260505HHHT0_KIA,KIA,한화,1,5,1,2.0,0.4,4.8,4.2,0.6,1
2026-05-05,20260505LTKT0_KT,KT,롯데,1,5,1,2.0,0.6,4.0,4.6,-0.6,1
2026-05-05,20260505OBLG0_LG,LG,두산,1,5,1,2.0,0.6,6.2,5.2,1.0,1
2026-05-05,20260505OBLG0_두산,두산,LG,0,5,1,2.0,0.8,8.8,3.6,5.2,0
2026-05-05,20260505LTKT0_롯데,롯데,KT,0,5,1,2.0,0.8,6.0,4.2,1.8,0
2026-05-05,20260505WOSS0_삼성,삼성,키움,1,5,1,2.0,0.4,3.8,6.8,-3.0,1
2026-05-05,20260505WOSS0_키움,키움,삼성,0,5,1,2.0,0.4,4.0,8.0,-4.0,0
2026-05-05,20260505HHHT0_한화,한화,KIA,0,5,1,2.0,0.2,5.2,6.8,-1.6,0
2026-05-06,20260506HHHT0_KIA,KIA,한화,1,5,2,1.0,0.4,5.4,4.8,0.6,0
2026-05-06,20260506LTKT0_KT,KT,롯데,1,5,2,1.0,0.6,4.0,4.6,-0.6,0
2026-05-06,20260506OBLG0_LG,LG,두산,1,5,2,1.0,0.8,5.8,4.4,1.4,1
2026-05-06,20260506NCSK0_NC,NC,SSG,0,5,1,3.0,0.4,5.4,6.4,-1.0,0
2026-05-06,20260506NCSK0_SSG,SSG,NC,1,5,1,3.0,0.4,6.8,5.2,1.6,1
2026-05-06,20260506OBLG0_두산,두산,LG,0,5,2,1.0,0.6,8.2,4.0,4.2,0
2026-05-06,20260506LTKT0_롯데,롯데,KT,0,5,2,1.0,0.8,5.8,4.0,1.8,1
2026-05-06,20260506WOSS0_삼성,삼성,키움,1,5,2,1.0,0.6,6.0,6.2,-0.2,1
2026-05-06,20260506WOSS0_키움,키움,삼성,0,5,2,1.0,0.2,3.0,9.2,-6.2,0
2026-05-06,20260506HHHT0_한화,한화,KIA,0,5,2,1.0,0.2,6.4,8.0,-1.6,1
2026-05-07,20260507HHHT0_KIA,KIA,한화,1,5,3,1.0,0.4,5.4,4.8,0.6,0
2026-05-07,20260507OBLG0_LG,LG,두산,1,5,3,1.0,0.8,5.8,3.6,2.2,0
2026-05-07,20260507NCSK0_NC,NC,SSG,0,5,2,1.0,0.4,5.8,6.0,-0.2,1
2026-05-07,20260507NCSK0_SSG,SSG,NC,1,5,2,1.0,0.4,7.0,6.2,0.8,0
2026-05-07,20260507OBLG0_두산,두산,LG,0,5,3,1.0,0.4,6.8,4.2,2.6,1
2026-05-07,20260507WOSS0_삼성,삼성,키움,1,5,3,1.0,0.8,5.4,4.8,0.6,1
2026-05-07,20260507WOSS0_키움,키움,삼성,0,5,3,1.0,0.2,3.0,9.0,-6.0,0
2026-05-07,20260507HHHT0_한화,한화,KIA,0,5,3,1.0,0.4,7.2,5.6,1.6,1
2026-05-08,20260508HTLT0_KIA,KIA,롯데,0,5,1,1.0,0.4,6.4,6.2,0.2,1
2026-05-08,20260508KTWO0_KT,KT,키움,0,5,1,2.0,0.6,3.2,5.0,-1.8,1
2026-05-08,20260508LGHH0_LG,LG,한화,0,5,1,1.0,0.6,5.2,4.0,1.2,1
2026-05-08,20260508SSNC0_NC,NC,삼성,1,5,1,1.0,0.4,6.4,6.6,-0.2,0
2026-05-08,20260508SKOB0_SSG,SSG,두산,0,5,1,1.0,0.2,5.2,7.6,-2.4,1
2026-05-08,20260508SKOB0_두산,두산,SSG,1,5,1,1.0,0.4,4.2,3.4,0.8,0
2026-05-08,20260508HTLT0_롯데,롯데,KIA,1,5,1,2.0,0.8,6.8,4.0,2.8,0
2026-05-08,20260508SSNC0_삼성,삼성,NC,0,5,1,1.0,0.8,5.8,4.2,1.6,1
2026-05-08,20260508KTWO0_키움,키움,KT,1,5,1,1.0,0.2,1.8,7.0,-5.2,0
2026-05-08,20260508LGHH0_한화,한화,LG,1,5,1,1.0,0.6,8.8,6.4,2.4,0
2026-05-09,20260509HTLT0_KIA,KIA,롯데,0,5,2,1.0,0.4,6.8,6.6,0.2,1
2026-05-09,20260509LGHH0_LG,LG,한화,0,5,2,1.0,0.6,4.4,4.6,-0.2,0
2026-05-09,20260509SSNC0_NC,NC,삼성,1,5,2,1.0,0.4,6.8,6.4,0.4,0
2026-05-09,20260509SKOB0_SSG,SSG,두산,0,5,2,1.0,0.4,4.6,5.8,-1.2,0
2026-05-09,20260509SKOB0_두산,두산,SSG,1,5,2,1.0,0.4,4.0,3.4,0.6,1
2026-05-09,20260509HTLT0_롯데,롯데,KIA,1,5,2,1.0,0.6,5.2,4.2,1.0,0
2026-05-09,20260509SSNC0_삼성,삼성,NC,0,5,2,1.0,1.0,6.0,2.2,3.8,1
2026-05-09,20260509LGHH0_한화,한화,LG,1,5,2,1.0,0.4,7.8,7.6,0.2,1
2026-05-10,20260510HTLT0_KIA,KIA,롯데,0,5,3,1.0,0.6,6.6,5.6,1.0,0
2026-05-10,20260510KTWO0_KT,KT,키움,0,5,2,2.0,0.6,4.0,4.4,-0.4,0
2026-05-10,20260510LGHH0_LG,LG,한화,0,5,3,1.0,0.6,4.4,4.8,-0.4,0
2026-05-10,20260510SSNC0_NC,NC,삼성,1,5,3,1.0,0.4,6.6,4.8,1.8,0
2026-05-10,20260510SKOB0_SSG,SSG,두산,0,5,3,1.0,0.4,4.4,6.2,-1.8,0
2026-05-10,20260510SKOB0_두산,두산,SSG,1,5,3,1.0,0.4,3.0,3.6,-0.6,1
2026-05-10,20260510HTLT0_롯데,롯데,KIA,1,5,3,1.0,0.4,4.0,3.8,0.2,1
2026-05-10,20260510SSNC0_삼성,삼성,NC,0,5,3,1.0,1.0,5.6,1.8,3.8,1
2026-05-10,20260510KTWO0_키움,키움,KT,1,5,2,2.0,0.0,1.0,8.2,-7.2,1
2026-05-10,20260510LGHH0_한화,한화,LG,1,5,3,1.0,0.6,8.8,6.8,2.0,1
