feature,feature_group,high_signal_definition,high_signal_games,production_accuracy_when_high,candidate_accuracy_when_high,accuracy_delta_when_high,candidate_wrong_games,common_failure_pattern,interpretation,recommended_action
venue_context_win_rate_gap,venue_context,abs(venue_context_win_rate_gap) >= p75(0.3455),258,0.543,0.547,0.004,117,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
team_recent_same_venue_run_diff,venue_context,abs(team_recent_same_venue_run_diff) >= p75(2.6),283,0.548,0.544,-0.004,129,high_signal_candidate_underperforms,2026 high-signal 구간에서 후보가 baseline보다 낮아 거짓 신호 가능성,remove_from_candidate_or_monitor_only
opponent_recent_away_win_rate_prior,venue_context,abs(opponent_recent_away_win_rate_prior) >= p75(0.5),775,0.535,0.555,0.02,345,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
opponent_month_win_rate_prior,month_phase,abs(opponent_month_win_rate_prior) >= p75(0.7),260,0.531,0.554,0.023,116,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
month_run_diff_gap,month_phase,abs(month_run_diff_gap) >= p75(3.6786),258,0.473,0.512,0.039,126,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
season_phase,month_phase,abs(season_phase) >= p75(1.0),762,0.538,0.562,0.024,334,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
opponent_month_run_diff_prior,month_phase,abs(opponent_month_run_diff_prior) >= p75(2.4),259,0.49,0.506,0.016,128,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
team_month_win_rate_prior,month_phase,abs(team_month_win_rate_prior) >= p75(0.7),260,0.531,0.554,0.023,116,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
month_win_rate_gap,month_phase,abs(month_win_rate_gap) >= p75(0.3494),258,0.519,0.55,0.031,116,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
team_month_run_diff_prior,month_phase,abs(team_month_run_diff_prior) >= p75(2.4),259,0.49,0.506,0.016,128,no_clear_false_signal,2026 high-signal 구간에서 명확한 악화는 제한적,monitor_only
