strategy_name,model_name,feature_set,games_total,picked_games,coverage_rate,pick_accuracy,all_game_accuracy,daily_top1_games,daily_top1_accuracy,daily_top2_games,daily_top2_accuracy,avg_pick_probability,brier,log_loss,2026_pick_accuracy,2026_daily_top1_accuracy,2026_daily_top2_accuracy,rolling_pick_accuracy,interpretation
avoid_venue_gap_false_signal,LogisticRegression conservative model,production_feature_set,1483,1483,1.0,0.514,0.514,343,0.516,674,0.527,0.559,0.252,0.697,0.5,0.523,0.516,,전체 경기 대비 선택픽 우위가 제한적
all_games,GradientBoosting conservative model,production_feature_set,1483,1483,1.0,0.541,0.541,343,0.56,674,0.571,0.549,0.248,0.69,0.552,0.577,0.575,,전체 경기 대비 선택픽 우위가 제한적
probability_ge_52,GradientBoosting conservative model,production_feature_set,1483,1144,0.994,0.559,0.541,341,0.56,655,0.573,0.561,0.248,0.69,0.584,0.577,0.583,,실전 선택픽 성능 개선 후보
probability_ge_53,GradientBoosting conservative model,production_feature_set,1483,990,0.974,0.555,0.541,334,0.557,636,0.575,0.567,0.248,0.69,0.573,0.569,0.583,,실전 선택픽 성능 개선 후보
probability_ge_54,GradientBoosting conservative model,production_feature_set,1483,819,0.939,0.568,0.541,322,0.556,590,0.576,0.573,0.248,0.69,0.568,0.561,0.574,,실전 선택픽 성능 개선 후보
probability_ge_55,GradientBoosting conservative model,production_feature_set,1483,677,0.915,0.572,0.541,314,0.557,536,0.578,0.579,0.248,0.69,0.573,0.566,0.575,,실전 선택픽 성능 개선 후보
daily_top1,GradientBoosting conservative model,production_feature_set,1483,343,1.0,0.56,0.541,343,0.56,343,0.56,0.587,0.248,0.69,0.577,0.577,0.577,,실전 선택픽 성능 개선 후보
daily_top2,GradientBoosting conservative model,production_feature_set,1483,674,1.0,0.571,0.541,343,0.56,674,0.571,0.574,0.248,0.69,0.575,0.577,0.575,,실전 선택픽 성능 개선 후보
daily_top1_if_probability_ge_52,GradientBoosting conservative model,production_feature_set,1483,341,0.994,0.56,0.541,341,0.56,341,0.56,0.587,0.248,0.69,0.577,0.577,0.577,,실전 선택픽 성능 개선 후보
daily_top1_if_probability_ge_53,GradientBoosting conservative model,production_feature_set,1483,334,0.974,0.557,0.541,334,0.557,334,0.557,0.589,0.248,0.69,0.569,0.569,0.569,,실전 선택픽 성능 개선 후보
avoid_false_signal_features,GradientBoosting conservative model,production_feature_set,1483,0,0.0,,0.541,0,,0,,,0.248,0.69,,,,,전체 경기 대비 선택픽 우위가 제한적
avoid_high_volatility_false_signal,GradientBoosting conservative model,production_feature_set,1483,1483,1.0,0.541,0.541,343,0.56,674,0.571,0.549,0.248,0.69,0.552,0.577,0.575,,전체 경기 대비 선택픽 우위가 제한적
avoid_venue_gap_false_signal,GradientBoosting conservative model,production_feature_set,1483,1483,1.0,0.541,0.541,343,0.56,674,0.571,0.549,0.248,0.69,0.552,0.577,0.575,,전체 경기 대비 선택픽 우위가 제한적
all_games,probability average ensemble,ensemble,1483,1483,1.0,0.543,0.543,343,0.601,674,0.573,0.545,0.247,0.688,0.558,0.604,0.593,,전체 경기 대비 선택픽 우위가 제한적
probability_ge_52,probability average ensemble,ensemble,1483,1111,0.98,0.551,0.543,336,0.601,645,0.575,0.556,0.247,0.688,0.556,0.615,0.597,,실전 선택픽 성능 개선 후보
probability_ge_53,probability average ensemble,ensemble,1483,954,0.971,0.566,0.543,333,0.604,622,0.584,0.561,0.247,0.688,0.583,0.615,0.602,,실전 선택픽 성능 개선 후보
probability_ge_54,probability average ensemble,ensemble,1483,772,0.948,0.574,0.543,325,0.606,576,0.589,0.568,0.247,0.688,0.586,0.615,0.595,,실전 선택픽 성능 개선 후보
probability_ge_55,probability average ensemble,ensemble,1483,595,0.883,0.58,0.543,303,0.607,498,0.592,0.574,0.247,0.688,0.6,0.621,0.61,,실전 선택픽 성능 개선 후보
daily_top1,probability average ensemble,ensemble,1483,343,1.0,0.601,0.543,343,0.601,343,0.601,0.576,0.247,0.688,0.604,0.604,0.604,,실전 선택픽 성능 개선 후보
daily_top2,probability average ensemble,ensemble,1483,674,1.0,0.573,0.543,343,0.601,674,0.573,0.566,0.247,0.688,0.593,0.604,0.593,,실전 선택픽 성능 개선 후보
daily_top1_if_probability_ge_52,probability average ensemble,ensemble,1483,336,0.98,0.601,0.543,336,0.601,336,0.601,0.578,0.247,0.688,0.615,0.615,0.615,,실전 선택픽 성능 개선 후보
daily_top1_if_probability_ge_53,probability average ensemble,ensemble,1483,333,0.971,0.604,0.543,333,0.604,333,0.604,0.578,0.247,0.688,0.615,0.615,0.615,,실전 선택픽 성능 개선 후보
avoid_false_signal_features,probability average ensemble,ensemble,1483,0,0.0,,0.543,0,,0,,,0.247,0.688,,,,,전체 경기 대비 선택픽 우위가 제한적
avoid_high_volatility_false_signal,probability average ensemble,ensemble,1483,1483,1.0,0.543,0.543,343,0.601,674,0.573,0.545,0.247,0.688,0.558,0.604,0.593,,전체 경기 대비 선택픽 우위가 제한적
avoid_venue_gap_false_signal,probability average ensemble,ensemble,1483,1483,1.0,0.543,0.543,343,0.601,674,0.573,0.545,0.247,0.688,0.558,0.604,0.593,,전체 경기 대비 선택픽 우위가 제한적
model_consensus_only,model consensus,consensus,1483,1483,1.0,0.532,0.532,343,0.586,674,0.555,0.911,,,0.541,0.595,0.552,,전체 경기 대비 선택픽 우위가 제한적
model_consensus_daily_top1,model consensus,consensus,1483,343,1.0,0.583,0.532,343,0.583,343,0.583,0.996,,,0.676,0.676,0.676,,실전 선택픽 성능 개선 후보
production_vs_challenger_agreement_only,model consensus,consensus,1483,1483,1.0,0.532,0.532,343,0.586,674,0.555,0.911,,,0.541,0.595,0.552,,전체 경기 대비 선택픽 우위가 제한적
