prediction_date,train_games_before_date,test_games_on_date,model,feature_set,accuracy,brier,log_loss,over_55_games,over_55_accuracy,predicted_games,correct_games,interpretation
2026-04-24,7126,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.252,0.697,2,1.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-25,7131,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.8,0.217,0.627,4,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-25,7131,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.8,0.217,0.626,4,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-26,7136,4,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.0,0.303,0.8,2,0.0,8,0,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-26,7136,4,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.0,0.3,0.793,2,0.0,8,0,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-28,7140,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.235,0.663,0,,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-28,7140,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.243,0.68,0,,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-29,7145,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.4,0.256,0.706,4,0.5,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-29,7145,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.249,0.691,2,1.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-30,7150,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.4,0.262,0.718,4,0.0,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-04-30,7150,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.4,0.259,0.711,2,0.0,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-01,7155,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.8,0.23,0.654,6,0.667,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-01,7155,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.8,0.229,0.652,6,0.667,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-02,7160,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.2,0.271,0.735,4,0.5,10,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-02,7160,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.2,0.275,0.743,4,0.5,10,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-03,7165,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.259,0.713,6,0.333,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-03,7165,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.263,0.72,6,0.333,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-05,7170,4,HistGradientBoosting_current_season_rolling,current_operational_feature_set,1.0,0.194,0.58,6,1.0,8,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-05,7170,4,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,1.0,0.193,0.579,6,1.0,8,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-06,7174,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.236,0.666,6,0.667,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-06,7174,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.235,0.663,6,0.667,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-07,7179,4,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.25,0.269,0.73,4,0.5,8,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-07,7179,4,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.25,0.274,0.741,6,0.333,8,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-08,7183,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.221,0.635,4,1.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-08,7183,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,1.0,0.219,0.631,2,1.0,10,10,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-09,7188,4,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.5,0.267,0.727,6,0.333,8,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-09,7188,4,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.5,0.267,0.726,4,0.0,8,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-10,7192,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.2,0.292,0.779,8,0.25,10,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-10,7192,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.2,0.284,0.761,2,0.0,10,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-12,7197,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.4,0.243,0.679,4,0.5,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-12,7197,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.4,0.246,0.684,2,1.0,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-13,7202,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.2,0.278,0.749,2,0.0,10,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-13,7202,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.2,0.28,0.753,4,0.0,10,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-14,7207,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.246,0.685,4,0.5,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-14,7207,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.249,0.691,4,0.5,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-15,7212,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.0,0.301,0.795,6,0.0,10,0,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-15,7212,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.0,0.292,0.778,4,0.0,10,0,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-16,7217,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.234,0.662,4,1.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-16,7217,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.234,0.66,6,0.667,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-17,7222,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.4,0.265,0.722,6,0.333,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-17,7222,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.4,0.259,0.711,4,0.5,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-19,7227,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.4,0.272,0.739,2,0.0,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-19,7227,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.4,0.266,0.725,4,0.5,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-20,7232,1,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.0,0.277,0.747,0,,2,0,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-20,7232,1,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.0,0.285,0.764,0,,2,0,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-21,7233,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.259,0.711,6,0.333,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-21,7233,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.251,0.696,4,0.5,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-22,7238,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.242,0.678,4,0.5,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-22,7238,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.8,0.237,0.667,2,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-23,7243,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,1.0,0.211,0.614,2,1.0,10,10,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-23,7243,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.8,0.224,0.641,4,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-24,7248,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.8,0.243,0.68,4,0.5,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-24,7248,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.8,0.236,0.666,4,0.5,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-26,7253,3,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.667,0.235,0.664,0,,6,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-26,7253,3,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,1.0,0.224,0.641,0,,6,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-27,7256,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.237,0.668,8,0.75,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-27,7256,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.24,0.673,4,0.5,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-28,7261,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.8,0.225,0.643,8,0.75,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-28,7261,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.8,0.23,0.652,2,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
