date,game_key,home_team,away_team,home_expected_runs,away_expected_runs,home_actual_runs,away_actual_runs,expected_total_runs,actual_total_runs,expected_run_diff,actual_run_diff,home_win_probability,predicted_winner,actual_winner,prediction_result,actual_total_bucket,home_abs_error,away_abs_error,total_abs_error,run_diff_abs_error,error_tags
2024-05-15,20240515NCHH0,한화,NC,4.779435478845516,5.458523519261951,1.0,16.0,10.237958998107466,17.0,-0.6790880404164357,-15.0,0.40341767124896644,NC,NC,correct,HIGH_12_PLUS,3.7794354788455156,10.541476480738048,6.762041001892534,14.320911959583565,BLOWOUT_UNDERPREDICTED
2024-05-15,20240515OBHT0,KIA,두산,5.394175577137277,5.194635466874627,8.0,4.0,10.588811044011905,12.0,0.1995401102626504,4.0,0.5717134668104166,KIA,KIA,correct,HIGH_12_PLUS,2.6058244228627228,1.1946354668746269,1.411188955988095,3.8004598897373496,NORMAL
2024-05-16,20240516LTKT0,KT,롯데,5.320744947871848,5.212729495671271,0.0,2.0,10.533474443543119,2.0,0.1080154522005774,-2.0,0.5542856916912369,KT,롯데,wrong,LOW_0_6,5.320744947871848,3.2127294956712706,8.533474443543119,2.1080154522005774,LOW_SCORING_MISS|RUN_DIFF_DIRECTION_MISS
2024-05-16,20240516NCHH0,한화,NC,4.528930944664207,5.680906096625925,3.0,4.0,10.209837041290132,7.0,-1.151975151961718,-1.0,0.319237808159848,NC,NC,correct,MID_7_11,1.5289309446642072,1.6809060966259253,3.2098370412901325,0.15197515196171807,NORMAL
2024-05-16,20240516SSSK0,SSG,삼성,4.949800853807183,5.2925004530600965,4.0,12.0,10.24230130686728,16.0,-0.3426995992529136,-8.0,0.46732964664061943,삼성,삼성,correct,HIGH_12_PLUS,0.9498008538071829,6.7074995469399035,5.7576986931327205,7.657300400747086,BLOWOUT_UNDERPREDICTED
2024-05-16,20240516WOLG0,LG,키움,5.252534330420221,4.800454147967358,5.0,6.0,10.05298847838758,11.0,0.4520801824528631,-1.0,0.6187676345420516,LG,키움,wrong,MID_7_11,0.2525343304202208,1.1995458520326423,0.9470115216124206,1.452080182452863,RUN_DIFF_DIRECTION_MISS|CLOSE_GAME_NOISE
2024-05-17,20240517HHSS0,삼성,한화,5.581804192939221,4.5060835178865055,7.0,5.0,10.087887710825726,12.0,1.0757206750527155,2.0,0.7245293704076092,삼성,삼성,correct,HIGH_12_PLUS,1.418195807060779,0.4939164821134945,1.9121122891742743,0.9242793249472845,NORMAL
2024-05-17,20240517HTNC0,NC,KIA,4.963386616179054,4.976117211729169,4.0,7.0,9.939503827908222,11.0,-0.012730595550114465,-3.0,0.5310948707409402,NC,KIA,wrong,MID_7_11,0.9633866161790543,2.0238827882708312,1.0604961720917778,2.9872694044498855,NORMAL
2024-05-17,20240517LGKT0,KT,LG,5.367158431342561,5.203525793310492,5.0,13.0,10.570684224653053,18.0,0.16363263803206873,-8.0,0.5648948288812489,KT,LG,wrong,HIGH_12_PLUS,0.36715843134256065,7.796474206689508,7.4293157753469465,8.16363263803207,HIGH_SCORING_MISS|RUN_DIFF_DIRECTION_MISS|BLOWOUT_UNDERPREDICTED
2024-05-17,20240517LTOB0,두산,롯데,5.246753218672624,4.274593183345842,1.0,5.0,9.521346402018466,6.0,0.9721600353267821,-4.0,0.7082462176745221,두산,롯데,wrong,LOW_0_6,4.246753218672624,0.7254068166541581,3.521346402018466,4.972160035326782,LOW_SCORING_MISS|RUN_DIFF_DIRECTION_MISS
2024-05-17,20240517SKWO0,키움,SSG,5.269153953236711,5.278140037439785,4.0,5.0,10.547293990676497,9.0,-0.008986084203074007,-1.0,0.5318165999367339,키움,SSG,wrong,MID_7_11,1.269153953236711,0.2781400374397851,1.547293990676497,0.991013915796926,CLOSE_GAME_NOISE
2024-05-18,20240518HHSS0,삼성,한화,5.5513281582905805,4.485523571435267,9.0,8.0,10.036851729725846,17.0,1.0658045868553137,1.0,0.7229948237160622,삼성,삼성,correct,HIGH_12_PLUS,3.4486718417094195,3.514476428564733,6.963148270274154,0.06580458685531365,NORMAL
2024-05-18,20240518HTNC0,NC,KIA,5.0181377811323475,5.034901120099561,2.0,7.0,10.053038901231908,9.0,-0.016763338967213492,-5.0,0.530317441341455,NC,KIA,wrong,MID_7_11,3.0181377811323475,1.965098879900439,1.0530389012319077,4.9832366610327865,BLOWOUT_UNDERPREDICTED
2024-05-18,20240518LGKT0,KT,LG,5.302376029556792,5.332067573784948,6.0,7.0,10.63444360334174,13.0,-0.029691544228155564,-1.0,0.5278241776598173,KT,LG,wrong,HIGH_12_PLUS,0.6976239704432077,1.667932426215052,2.36555639665826,0.9703084557718444,HIGH_SCORING_MISS|CLOSE_GAME_NOISE
